acceptance_fraction,threshold_tau,accepted_cases,empirical_coverage_90,id_served_fraction,ood_served_fraction,ood_routed_fraction
0.0,,0,,0.0,0.0,1.0
0.004,0.22931747138500214,1,0.9036933298593017,0.01,0.0,1.0
0.008,0.2347687929868698,2,0.9304239158660088,0.02,0.0,1.0
0.012,0.2354920655488968,3,0.9351724434505891,0.03,0.0,1.0
0.016,0.2423637956380844,4,0.9280929992915566,0.04,0.0,1.0
0.02,0.24327300488948822,5,0.926669686771939,0.05,0.0,1.0
0.024,0.24411627650260925,6,0.9274713929278156,0.06,0.0,1.0
0.028,0.2484990358352661,7,0.9292347013827597,0.07,0.0,1.0
0.032,0.25023093819618225,8,0.9242852071769717,0.08,0.0,1.0
0.036,0.25267404317855835,9,0.9243404109197046,0.09,0.0,1.0
0.04,0.25437766313552856,10,0.922955306543019,0.1,0.0,1.0
0.044,0.2547540068626404,11,0.9272280869747997,0.11,0.0,1.0
0.048,0.25558727979660034,12,0.9310488613279162,0.12,0.0,1.0
0.052,0.25647789239883423,13,0.9341959917942244,0.13,0.0,1.0
0.056,0.25667643547058105,14,0.9357791446983011,0.14,0.0,1.0
0.06,0.2576099634170532,15,0.9382477354298411,0.15,0.0,1.0
0.064,0.25931426882743835,16,0.9355203710527581,0.16,0.0,1.0
0.068,0.2603536546230316,17,0.935445293195926,0.17,0.0,1.0
0.072,0.2614946663379669,18,0.9380952550179109,0.18,0.0,1.0
0.076,0.2646442949771881,19,0.9339015278993067,0.19,0.0,1.0
0.08,0.26726558804512024,20,0.9310558350293767,0.2,0.0,1.0
0.084,0.26988908648490906,21,0.9304817073170731,0.21,0.0,1.0
0.088,0.27926477789878845,22,0.9263458562635982,0.22,0.0,1.0
0.092,0.2821820080280304,23,0.9229156223893066,0.23,0.0,1.0
0.096,0.28414419293403625,24,0.9188236487063445,0.24,0.0,1.0
0.1,0.285049706697464,25,0.9179829501817623,0.25,0.0,1.0
0.104,0.2851457893848419,26,0.91973728304044,0.26,0.0,1.0
0.108,0.28531181812286377,27,0.9181311305898647,0.27,0.0,1.0
0.112,0.28561079502105713,28,0.9197194236711708,0.28,0.0,1.0
0.116,0.2898854613304138,29,0.9177725097561407,0.29,0.0,1.0
0.12,0.2922113537788391,30,0.9164572328278475,0.3,0.0,1.0
0.124,0.2947055995464325,31,0.9133046527766304,0.31,0.0,1.0
0.128,0.29617545008659363,32,0.9153717647434975,0.31,0.006666666666666667,0.9933333333333333
0.132,0.29778480529785156,33,0.9128661655300682,0.32,0.006666666666666667,0.9933333333333333
0.136,0.3071262836456299,34,0.9111262229302235,0.33,0.006666666666666667,0.9933333333333333
0.14,0.30907735228538513,35,0.911650079588767,0.34,0.006666666666666667,0.9933333333333333
0.144,0.31096163392066956,36,0.9136060973706243,0.35,0.006666666666666667,0.9933333333333333
0.148,0.31272822618484497,37,0.914949938587654,0.36,0.006666666666666667,0.9933333333333333
0.152,0.314348965883255,38,0.9115144468266717,0.37,0.006666666666666667,0.9933333333333333
0.156,0.31472572684288025,39,0.9130306700271676,0.38,0.006666666666666667,0.9933333333333333
0.16,0.31802502274513245,40,0.9129179205080533,0.39,0.006666666666666667,0.9933333333333333
0.164,0.3209112882614136,41,0.911679316947218,0.4,0.006666666666666667,0.9933333333333333
0.168,0.3244118094444275,42,0.9122415377779401,0.41,0.006666666666666667,0.9933333333333333
0.172,0.3260522186756134,43,0.9108864974136394,0.42,0.006666666666666667,0.9933333333333333
0.176,0.32825759053230286,44,0.911573998792046,0.43,0.006666666666666667,0.9933333333333333
0.18,0.3282579183578491,45,0.9087336176350338,0.44,0.006666666666666667,0.9933333333333333
0.184,0.3282833695411682,46,0.9058628767374522,0.45,0.006666666666666667,0.9933333333333333
0.188,0.32923775911331177,47,0.9066163231558392,0.46,0.006666666666666667,0.9933333333333333
0.192,0.3383861482143402,48,0.9050575517726266,0.47,0.006666666666666667,0.9933333333333333
0.196,0.33992865681648254,49,0.9051269271317182,0.48,0.006666666666666667,0.9933333333333333
0.2,0.3405659794807434,50,0.9061563442949931,0.49,0.006666666666666667,0.9933333333333333
0.204,0.3460872173309326,51,0.9066294658524602,0.5,0.006666666666666667,0.9933333333333333
0.208,0.3473379909992218,52,0.907788768739248,0.51,0.006666666666666667,0.9933333333333333
0.212,0.3510986566543579,53,0.9073658777595681,0.52,0.006666666666666667,0.9933333333333333
0.216,0.35677623748779297,54,0.9078529809593174,0.53,0.006666666666666667,0.9933333333333333
0.22,0.3615191578865051,55,0.9083756963788301,0.54,0.006666666666666667,0.9933333333333333
0.224,0.3630671501159668,56,0.9004107478254527,0.54,0.013333333333333334,0.9866666666666667
0.228,0.3653179109096527,57,0.9019910147470966,0.55,0.013333333333333334,0.9866666666666667
0.232,0.3658977746963501,58,0.9019634901017316,0.55,0.02,0.98
0.236,0.36858025193214417,59,0.9023831808022688,0.56,0.02,0.98
0.24,0.3687290549278259,60,0.9037917677705583,0.57,0.02,0.98
0.244,0.37016117572784424,61,0.9047382254741777,0.58,0.02,0.98
0.248,0.37905746698379517,62,0.9048138874155576,0.59,0.02,0.98
0.252,0.38320329785346985,63,0.9041568032372281,0.6,0.02,0.98
0.256,0.38862186670303345,64,0.9024572117396242,0.61,0.02,0.98
0.26,0.38995975255966187,65,0.8999258724692704,0.61,0.02666666666666667,0.9733333333333334
0.264,0.39571815729141235,66,0.9009351803934593,0.62,0.02666666666666667,0.9733333333333334
0.268,0.39770787954330444,67,0.9000945312618878,0.63,0.02666666666666667,0.9733333333333334
0.272,0.4014566242694855,68,0.9012900180033009,0.63,0.03333333333333333,0.9666666666666667
0.276,0.4034239947795868,69,0.901543966883885,0.63,0.04,0.96
0.28,0.403634250164032,70,0.9012818461057229,0.64,0.04,0.96
0.284,0.40413421392440796,71,0.9014827108225248,0.65,0.04,0.96
0.288,0.4054568409919739,72,0.9008196880729727,0.66,0.04,0.96
0.292,0.40799105167388916,73,0.9012251188593685,0.67,0.04,0.96
