member,epoch,train_masked_mse,epoch_sec
0,1,0.8088176700076616,2.282
0,2,0.32386843386413044,1.605
0,3,0.2479302111388631,1.68
0,4,0.2386515836064526,1.628
0,5,0.2232100758163226,1.633
0,6,0.17105988852378262,1.647
0,7,0.14752275427814163,1.613
0,8,0.15599455938518392,1.669
0,9,0.13516760785455648,1.64
0,10,0.13150392278942757,1.653
0,11,0.12039526005011762,1.645
0,12,0.11035411008176087,1.617
0,13,0.11273047909398988,1.676
0,14,0.10230935768714186,1.62
0,15,0.08606288335528332,1.686
0,16,0.09439569522190645,1.636
0,17,0.09448347236379723,1.676
0,18,0.09739439544736306,1.67
0,19,0.07755547964331731,1.94
0,20,0.07419080935375538,1.743
0,21,0.07421136049909054,1.63
0,22,0.07322073706312676,1.708
0,23,0.095911002949397,1.622
0,24,0.07716141610993127,1.672
0,25,0.06533318057096418,1.637
0,26,0.060221402685163336,1.626
0,27,0.053497969372079554,1.681
0,28,0.058597294172282856,1.704
0,29,0.0645659316460349,1.675
0,30,0.05295445983206606,1.632
1,1,0.7556568136786352,1.762
1,2,0.3568979377617079,1.681
1,3,0.2798856376024342,1.755
1,4,0.19494387135947316,1.731
1,5,0.1667600947336234,1.746
1,6,0.17812579118939828,1.708
1,7,0.17490863484592492,1.707
1,8,0.13419987971072078,1.761
1,9,0.11668689233512931,1.723
1,10,0.10212872048689463,1.937
1,11,0.10768869936383202,1.738
1,12,0.09932351772333586,1.768
1,13,0.09167177425204545,1.709
1,14,0.08429503083893183,1.785
1,15,0.09048323005354836,1.735
1,16,0.09713625382829177,1.712
1,17,0.07648065917629718,1.802
1,18,0.06968815377744791,1.713
1,19,0.06749587493603608,1.767
1,20,0.062153507138195146,1.729
1,21,0.062424882208736494,1.761
1,22,0.06318806655559699,1.761
1,23,0.0835865538536174,1.731
1,24,0.07913937608511667,1.761
1,25,0.0604944872905949,1.712
1,26,0.053731535346063064,1.795
1,27,0.05308852747373262,1.706
1,28,0.051885873369851815,1.774
1,29,0.05207079126496999,1.736
1,30,0.04604339861106076,1.842
2,1,0.7524956611224584,1.665
2,2,0.3122250928197588,1.725
2,3,0.22687736877373288,1.663
2,4,0.21449168852397374,1.737
2,5,0.1644264190537589,1.677
2,6,0.13897966985191618,1.683
2,7,0.11475466089589255,1.754
2,8,0.11859362878969737,1.671
2,9,0.10349511401993888,1.745
2,10,0.10082511141896248,1.682
2,11,0.08975489914417267,1.723
2,12,0.09109662332705089,1.682
2,13,0.08764836243220737,1.693
2,14,0.09263455203601292,1.715
2,15,0.08780792823859623,1.702
2,16,0.08059014101113592,1.742
2,17,0.08831846143518175,1.666
2,18,0.06730134636163712,1.733
2,19,0.08271734041827065,1.695
2,20,0.0944362228683063,1.683
2,21,0.06771387347153254,2.062
2,22,0.05846438322748457,1.657
2,23,0.05723935833999089,1.974
2,24,0.052981379926204684,1.996
2,25,0.062073094568082264,1.722
2,26,0.06583125359245709,1.702
2,27,0.06074933761996882,1.733
2,28,0.047431022727063725,1.688
2,29,0.0460742207297257,1.699
2,30,0.0553818978369236,1.717
3,1,0.656640733457716,1.744
3,2,0.337950913961317,1.794
3,3,0.22451141665433344,1.969
3,4,0.21523322668484837,1.955
3,5,0.15025295211606193,1.805
3,6,0.1429508053152048,1.777
3,7,0.13187562834664326,1.795
3,8,0.10826004769561726,1.804
3,9,0.09440240328903095,1.764
3,10,0.09601902832817641,2.043
3,11,0.0811641666459615,1.75
3,12,0.1267676858957197,1.83
3,13,0.08436333152594944,1.771
3,14,0.07636144097478254,1.824
3,15,0.0746416014895777,1.784
3,16,0.06944799921614922,1.835
3,17,0.09813997523011564,1.805
3,18,0.07536838737593035,1.813
3,19,0.06847487893513828,1.806
3,20,0.05592618598437764,1.764
3,21,0.05549616508733999,1.823
3,22,0.05183058087929718,1.774
3,23,0.050013035820030714,1.824
3,24,0.05100505831537195,1.796
3,25,0.04655728803830835,1.836
3,26,0.05138169255422312,1.77
3,27,0.06281118129433338,1.802
3,28,0.04570690237939845,1.794
3,29,0.04972871534566951,1.777
3,30,0.04594371417075477,1.82
4,1,0.6852215875907498,1.718
4,2,0.29623722075098785,1.742
4,3,0.2606805991072681,1.799
4,4,0.19586629058280702,1.789
4,5,0.15537360557535076,1.76
4,6,0.13844574740907764,1.778
4,7,0.12608625513413993,1.743
4,8,0.11240508814872299,1.806
4,9,0.12083839653934562,1.747
4,10,0.15552145724303157,1.801
4,11,0.10080351602306682,1.735
4,12,0.08232532507477544,1.831
4,13,0.08015940972289987,1.757
4,14,0.12045651752481144,1.776
4,15,0.10663245503085753,1.804
4,16,0.07609511461129505,1.741
4,17,0.06893883049693884,1.8
4,18,0.0615816549578095,1.768
4,19,0.05760612182360328,1.812
4,20,0.06679750513799941,1.969
4,21,0.0646528421968057,1.798
4,22,0.07404618265714434,1.742
4,23,0.07559411929539554,1.781
4,24,0.062257904158030425,1.795
4,25,0.05876718119857061,1.745
4,26,0.048880860250628454,1.792
4,27,0.06551320616217608,1.755
4,28,0.05277306079164724,1.797
4,29,0.060453735991736146,1.735
4,30,0.05311926094125648,1.814
