case_id,pool,case_dir,valid_geometry,invalid_reason,n_fin,h_ch_mm,h_fin_mm,d_in_mm,u_in_m_per_s,q_w_kw_m2,mesh_nx,mesh_ny,effective_inlet_width_mm,inlet_width_saturated,case_json_sha256,stl_sha256,status
id_train_0000,id_train,openfoam_cases/id_train_0000,true,,4,6.323644,3.139401,3.153214,1.026346,44.172071,240,25,3.153214,false,a6a4c4fc1d3f068e4501434a7272af04eb5f66c6e03b9ccc436c65746e843cb0,cd10cd202629af1d99fe5e079f7a10a971efb58ce15bf1b91217afd530b2c735,generated_not_solved
id_train_0200,id_train,openfoam_cases/id_train_0200,true,,4,9.863401,5.07196,4.985041,0.525088,31.723324,240,39,4.985041,false,86289f4bb8f34453be796dcacfeaa96edaba6e17e0c9035be231f70d02843a54,b53da80a15950f5b9f85956f12a09fb1c702d158d5aabaa77ffa4ab6d7338279,generated_not_solved
id_calibration_0400,id_calibration,openfoam_cases/id_calibration_0400,true,,4,4.702494,2.777651,3.104264,0.616183,29.682896,240,19,3.104264,false,6e0b9931bee56c27a2a069f398669bf0a1ea21910d5c5b5a2646a98c9fc6674d,5c7c668572e5a76c5e8b659bf212a0c5a615d6e32aba779d7d9366bdb9834afd,generated_not_solved
id_test_0500,id_test,openfoam_cases/id_test_0500,true,,4,6.983098,2.06243,5.296718,0.377652,38.821636,240,28,5.296718,false,feee27c1ad2b3f277fa651bd221aa8513db881b0e56812fafefd1e2386ddf1ac,b2e30660ce1a85442f4335d4132c6ac72bb1b9425bd20866d57d4ba6d05cdef5,generated_not_solved
ood_test_0121,ood_test,openfoam_cases/ood_test_0121,true,,10,5.806591,3.425269,0.910042,0.353129,20.276423,240,23,0.910042,false,83d293442431abeb624ffd3d581c71d763c1b5a0e2131407f0ea71856e5e4844,3d991851751ccc12d378c8849f4f9dcc7561ff3b6e1b2bb5cb35c2973ac5e587,generated_not_solved
ood_test_0106,ood_test,openfoam_cases/ood_test_0106,true,,10,12.105029,5.954229,3.231973,1.329507,44.311972,240,48,3.231973,false,35df5285319c64cbacb31f1856a0f0c151d64f9eecd62e5668102a42186e3b01,c2b206307f438edc481e0cb1f8b98fdaa06dd8b977da88b193001cfa797ab7a9,generated_not_solved
ood_test_0107,ood_test,openfoam_cases/ood_test_0107,true,,12,7.769078,4.429596,0.921906,0.435687,25.521207,240,31,0.921906,false,34be9925a565c0c334f37826ac41cbf79c5d3f5da55f4bb0bfbbccc27d392092,09223bb1a8cc51c569dd4233817b6aefa232809f91e0cc750b460de01ffd864b,generated_not_solved
ood_test_0071,ood_test,openfoam_cases/ood_test_0071,true,,12,9.50692,5.896683,7.167756,0.276905,7.38492,240,38,7.167756,false,828964b2f67b461d092a6ada80c4ecd48514db9ce8d8c9587eaa52ada287fd1c,a1ef6c61d8cf9b85546d6d3afb4163dfd6e0869b5752b42f52d00b4f4759b0f3,generated_not_solved
ood_test_0060,ood_test,openfoam_cases/ood_test_0060,true,,3,11.593321,5.541343,4.376674,0.714255,35.805094,240,46,4.376674,false,f9d48b5fd460b6576c8d32bb59a7ba115a43ab899fcd260f67f6a7a4261db1b4,121c572dd0690b914c3d7d1103d06babcd1831c001ed9171c9788393afbaae40,generated_not_solved
ood_test_0147,ood_test,openfoam_cases/ood_test_0147,true,,3,8.658837,5.922938,0.822884,0.261535,41.851088,240,35,0.822884,false,51f8de0c01d213da9efda433f21dd967f5bfb82b986e7bfae7c90b27547ba260,6a3b930102b5a4ac6feb221cf4dbd4a532f09f0c0e81f5d0dedb97febe6918dc,generated_not_solved
ood_fresh_0063,ood_fresh,openfoam_cases/ood_fresh_0063,true,,3,7.037644,2.669291,7.297119,0.858744,34.49137,240,28,7.037644,true,6243d66d75cac775e29d0786fda3de1b8802aa16c9d4f31ece714142b00f9137,69b17dcbf1ce10e63a267aafef14c15dca605ba330a47a0ea0774c3baea590ea,generated_not_solved
ood_fresh_0017,ood_fresh,openfoam_cases/ood_fresh_0017,true,,12,8.711315,5.587756,7.037673,0.200172,37.491194,240,35,7.037673,false,319e023b4283215e801265453f1930a663ff5dc165bf8b4e0bd71ac954dffb0f,126bc2776bbe9f130fe0915fa6e1813065eca4f2bfe900df18503f801c636509,generated_not_solved
