case_id,pool,case_dir,solver,mesh_cells,residual_U_initial,residual_U_final,residual_p_initial,residual_p_final,residual_T_initial,residual_T_final,flow_converged_reported,iterations_flow,iterations_temperature,scalar_stability_passed,scalar_mean_delta_T_K,scalar_max_delta_T_K,scalar_stability_window_s,scalar_stability_reason,raw_enthalpy_passed,raw_enthalpy_outlet_delta_T_K,raw_enthalpy_expected_delta_T_K,raw_enthalpy_balance_ratio,raw_enthalpy_mass_balance_rel_error,raw_enthalpy_reason,raw_temperature_extrema_passed,raw_temperature_min_T_K,raw_temperature_mean_T_K,raw_temperature_max_T_K,raw_temperature_reason,wall_time_sec,converged,dropped,drop_reason,openfoam_version
hard_dinhighidfin_0005,hard_regime,openfoam_cases/hard_dinhighidfin_0005,simpleFoam+thermalEnergyFoam,8592,0.00038848653,1.4130178e-07,0.0052224915,3.7779697e-05,7.911568e-07,7.2702591e-10,false,15000,5,true,5.2816573558543735e-06,0.0003700000000321779,1.0,,true,0.07073664267835511,0.07695740367955758,0.9191661789019668,7.691320268622317e-06,,,,,,,106.273,false,true,flow solver did not report convergence; flow residuals did not meet convergence contract,OpenFOAM-13
hard_hchhighidfin_0000,hard_regime,openfoam_cases/hard_hchhighidfin_0000,simpleFoam+thermalEnergyFoam,18552,8.4995651e-07,4.5486902e-09,9.9997556e-07,9.3056467e-08,8.2834672e-07,4.6535234e-10,true,5787,16,true,2.695450625267777e-05,0.0030299999999670035,1.0,,true,0.07804841332387014,0.07692559481206397,1.014596162883749,1.2587923949909405e-08,,true,293.14995,295.7123666779862,311.85706,,185.223,true,false,,OpenFOAM-13
hard_nfin3dinhigh_0003,hard_regime,openfoam_cases/hard_nfin3dinhigh_0003,simpleFoam+thermalEnergyFoam,12756,0.00014728105,3.1876504e-08,0.00073245817,5.5750302e-06,9.054396e-06,1.8217213e-10,false,15000,500,true,0.0001835536218252282,0.0027600000000234104,1.0,,true,0.11937214803674578,0.09091436610848395,1.31301743768751,1.8267634682999935e-07,,,,,,,196.734,false,true,flow solver did not report convergence; flow residuals did not meet convergence contract,OpenFOAM-13
hard_nfin3hchhigh_0004,hard_regime,openfoam_cases/hard_nfin3hchhigh_0004,simpleFoam+thermalEnergyFoam,14268,9.9893142e-07,3.244561e-09,6.3497455e-07,9.2806073e-08,1.7567891e-07,9.1414559e-10,true,2780,5,true,1.8085926548866684e-05,0.0003600000000005821,1.0,,true,0.14883456036659481,0.14884839508645112,0.9999070549612021,2.6181849762924118e-08,,true,293.14999,297.7649944820578,353.67832,,63.628,true,false,,OpenFOAM-13
hard_nfin3idaxes_0004,hard_regime,openfoam_cases/hard_nfin3idaxes_0004,simpleFoam+thermalEnergyFoam,13014,5.9869882e-07,3.1229307e-09,9.9966015e-07,7.7622361e-08,1.9269692e-07,8.6084542e-10,true,2797,5,true,3.6201014292238286e-05,0.0006000000000199179,1.0,,true,0.2825443412110644,0.28263612237135194,0.9996752674091427,9.18221573976635e-09,,true,293.14999,301.3581743322576,392.77477,,60.051,true,false,,OpenFOAM-13
id_calibration_0400,id_calibration,openfoam_cases/id_calibration_0400,simpleFoam+thermalEnergyFoam,8688,9.4857585e-07,8.1802858e-09,9.9751284e-07,9.6669612e-08,2.4620478e-07,8.6628153e-10,true,1641,5,true,1.2869475138127088e-05,0.0004799999999818283,1.0,,true,0.3036525902878111,0.3037529547748508,0.9996695851498331,1.3524713400536175e-07,,true,293.14998,296.6982001519337,335.38686,,20.245,true,false,,OpenFOAM-13
id_calibration_0401,id_calibration,openfoam_cases/id_calibration_0401,simpleFoam+thermalEnergyFoam,17440,6.6370518e-07,1.6094606e-09,9.9780698e-07,6.9124323e-08,8.8029391e-05,2.7183596e-10,true,5454,500,true,0.0015222540137614618,0.020309999999994943,1.0,,true,0.4629317980262613,0.2658406530373398,1.7413882818036797,6.872495547835224e-09,,true,293.14998,300.13558822477063,362.72204,,105.655,true,false,,OpenFOAM-13
id_calibration_0402,id_calibration,openfoam_cases/id_calibration_0402,simpleFoam+thermalEnergyFoam,9096,9.9885777e-07,6.8687904e-09,9.4520635e-07,6.6143865e-08,1.3231977e-07,9.0827876e-10,true,1496,5,true,1.107959542645336e-05,0.0003400000000510772,1.0,,true,0.2659977760526999,0.26606679531630123,0.999740594223645,6.887882873276292e-10,,true,293.14997,297.30506993183815,331.4806,,19.716,true,false,,OpenFOAM-13
id_calibration_0403,id_calibration,openfoam_cases/id_calibration_0403,simpleFoam+thermalEnergyFoam,12652,8.7740361e-07,9.8463969e-09,9.9588296e-07,9.9445471e-08,5.8984121e-07,9.6170005e-10,true,2022,4,true,3.8999367688504234e-05,0.004340000000013333,1.0,,true,0.25601256848511866,0.25613975098746405,0.9995034644101313,1.1833031873780932e-08,,true,293.14989,299.30043465618087,345.23299,,29.564,true,false,,OpenFOAM-13
id_calibration_0404,id_calibration,openfoam_cases/id_calibration_0404,simpleFoam+thermalEnergyFoam,23176,2.6813678e-07,4.0344847e-09,9.9980503e-07,8.6190739e-08,3.9451379e-05,1.7353048e-10,true,4462,500,true,0.0008764458923024346,0.015370000000018536,1.0,,true,0.15604531666446064,0.07240512470693101,2.1551695034857543,9.619932207984726e-09,,true,293.14993,300.425377984553,337.43884,,167.336,true,false,,OpenFOAM-13
