case_id,pool,case_dir,valid_geometry,invalid_reason,n_fin,h_ch_mm,h_fin_mm,d_in_mm,u_in_m_per_s,q_w_kw_m2,mesh_nx,mesh_ny,effective_inlet_width_mm,inlet_width_saturated,case_json_sha256,stl_sha256,status
id_train_0000,id_train,openfoam_cases/id_train_0000,true,,4,6.323644,3.139401,3.153214,1.026346,44.172071,240,25,3.153214,false,2e2e1d636bca5802618a5ade3462073f72090ccc2811d7cd63fd219770683e43,cd10cd202629af1d99fe5e079f7a10a971efb58ce15bf1b91217afd530b2c735,generated_not_solved
id_train_0200,id_train,openfoam_cases/id_train_0200,true,,4,9.863401,5.07196,4.985041,0.525088,31.723324,240,39,4.985041,false,02edad1120ba5fa9460ea27459a4050718f8448f70d21e2eb864acf332295e0f,b53da80a15950f5b9f85956f12a09fb1c702d158d5aabaa77ffa4ab6d7338279,generated_not_solved
id_calibration_0400,id_calibration,openfoam_cases/id_calibration_0400,true,,4,4.702494,2.777651,3.104264,0.616183,29.682896,240,19,3.104264,false,3072f4ff8cc12a187812b0a7ba652349e1e598959c0407a87fc9bbd69da2adbf,5c7c668572e5a76c5e8b659bf212a0c5a615d6e32aba779d7d9366bdb9834afd,generated_not_solved
id_test_0500,id_test,openfoam_cases/id_test_0500,true,,4,6.983098,2.06243,5.296718,0.377652,38.821636,240,28,5.296718,false,a128a27d5e22d59abe092173b43e1732185c27a530e4f50e5fe68e9c9b14414e,b2e30660ce1a85442f4335d4132c6ac72bb1b9425bd20866d57d4ba6d05cdef5,generated_not_solved
ood_test_0121,ood_test,openfoam_cases/ood_test_0121,true,,10,5.806591,3.425269,0.910042,0.353129,20.276423,240,23,0.910042,false,b36d291d29adfe129674662d4d3c0b31ee732c1bda35d69e7fd5a86c368a4ebf,3d991851751ccc12d378c8849f4f9dcc7561ff3b6e1b2bb5cb35c2973ac5e587,generated_not_solved
ood_test_0106,ood_test,openfoam_cases/ood_test_0106,true,,10,12.105029,5.954229,3.231973,1.329507,44.311972,240,48,3.231973,false,e7b7fe2fc7e613da21dac277628d87af88960ac99af589b458f1f0ed1e6bb6ed,c2b206307f438edc481e0cb1f8b98fdaa06dd8b977da88b193001cfa797ab7a9,generated_not_solved
ood_test_0107,ood_test,openfoam_cases/ood_test_0107,true,,12,7.769078,4.429596,0.921906,0.435687,25.521207,240,31,0.921906,false,6e1b9844592b02d3f20e9629d5b34cb14c794d475d1312fd4dc3df4651ae3174,09223bb1a8cc51c569dd4233817b6aefa232809f91e0cc750b460de01ffd864b,generated_not_solved
ood_test_0071,ood_test,openfoam_cases/ood_test_0071,true,,12,9.50692,5.896683,7.167756,0.276905,7.38492,240,38,7.167756,false,698db8df819776dc181132853f2a7b5506a473faf3fb844397838d5f6e1e2815,a1ef6c61d8cf9b85546d6d3afb4163dfd6e0869b5752b42f52d00b4f4759b0f3,generated_not_solved
ood_test_0060,ood_test,openfoam_cases/ood_test_0060,true,,3,11.593321,5.541343,4.376674,0.714255,35.805094,240,46,4.376674,false,2bd6c29c3a3d6c4502357766a34e056a7645834da4809af1b4a0026a3a1e357a,121c572dd0690b914c3d7d1103d06babcd1831c001ed9171c9788393afbaae40,generated_not_solved
ood_test_0147,ood_test,openfoam_cases/ood_test_0147,true,,3,8.658837,5.922938,0.822884,0.261535,41.851088,240,35,0.822884,false,f2d61e7e9128850ee8a494c9ccfe91ce7851dbfc70704f0aa7cb832996b6727c,6a3b930102b5a4ac6feb221cf4dbd4a532f09f0c0e81f5d0dedb97febe6918dc,generated_not_solved
ood_fresh_0063,ood_fresh,openfoam_cases/ood_fresh_0063,true,,3,7.037644,2.669291,7.297119,0.858744,34.49137,240,28,7.037644,true,489ad481ecf32af1085b6d6afd47f2f7f4afc65ddd5c87dc9229d23dd0e7e906,69b17dcbf1ce10e63a267aafef14c15dca605ba330a47a0ea0774c3baea590ea,generated_not_solved
ood_fresh_0017,ood_fresh,openfoam_cases/ood_fresh_0017,true,,12,8.711315,5.587756,7.037673,0.200172,37.491194,240,35,7.037673,false,4cb17e7f11c4c30875253f049ab6dbab942be3f7641efb10e1b57ef40661a97a,126bc2776bbe9f130fe0915fa6e1813065eca4f2bfe900df18503f801c636509,generated_not_solved
