case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status
id_train_0365,id_train,7.922245,4,3.018326,5.32411,1.155487,7.056702,uniform_fins,pending
id_train_0381,id_train,6.160668,5,3.91042,5.777187,1.414188,8.544044,uniform_fins,pending
id_train_0327,id_train,8.223206,6,5.344925,5.993518,1.252122,5.071113,uniform_fins,pending
id_train_0258,id_train,7.53131,7,3.195204,4.929413,1.410533,8.319625,uniform_fins,pending
id_train_0054,id_train,6.716661,8,3.639655,3.425758,1.376599,7.770137,uniform_fins,pending
id_train_0075,id_train,8.05894,4,2.263354,4.399295,1.424293,9.529571,uniform_fins,pending
id_train_0206,id_train,8.218414,5,3.58947,5.916099,0.967762,9.019523,uniform_fins,pending
id_train_0282,id_train,9.817531,6,2.994706,5.986709,1.433899,6.558249,uniform_fins,pending
id_train_0163,id_train,5.934605,7,3.59756,4.650766,1.361736,8.013395,uniform_fins,pending
id_train_0319,id_train,7.452337,8,2.459613,3.634519,0.928225,5.559489,uniform_fins,pending
id_train_0015,id_train,6.82987,4,3.380282,4.826404,1.436808,12.942178,uniform_fins,pending
id_train_0216,id_train,6.588624,5,3.628481,3.663289,0.939031,5.883544,uniform_fins,pending
id_train_0202,id_train,5.085359,6,3.242579,5.499436,1.181465,8.500314,uniform_fins,pending
id_train_0268,id_train,6.449356,7,2.575067,5.534451,1.141661,10.185546,uniform_fins,pending
id_train_0199,id_train,4.24454,8,2.57016,3.767001,0.860583,7.458045,uniform_fins,pending
id_train_0240,id_train,4.440557,4,2.590686,4.826739,0.648934,5.403846,uniform_fins,pending
id_train_0046,id_train,9.432874,5,2.288464,5.944696,1.421897,14.719547,uniform_fins,pending
id_train_0057,id_train,9.177525,6,4.55691,5.176662,0.772994,6.321667,uniform_fins,pending
id_train_0003,id_train,8.406928,7,2.401077,4.61701,0.908644,7.781192,uniform_fins,pending
id_train_0254,id_train,7.174577,8,2.459933,5.136303,1.21471,14.761976,uniform_fins,pending
id_train_0150,id_train,8.001134,4,5.571559,4.603937,1.130839,13.800537,uniform_fins,pending
id_train_0201,id_train,4.254862,5,2.337482,5.965655,1.343375,10.411439,uniform_fins,pending
id_train_0312,id_train,6.969011,6,2.420423,5.571737,1.010999,9.377112,uniform_fins,pending
id_train_0223,id_train,5.951409,7,2.541622,4.3449,0.846271,7.631896,uniform_fins,pending
id_train_0024,id_train,6.30351,8,3.522296,5.09063,0.755763,9.105251,uniform_fins,pending
id_train_0230,id_train,5.010317,4,2.217576,4.387614,1.340177,16.597401,uniform_fins,pending
id_train_0346,id_train,7.892738,5,4.253039,4.69647,1.39168,12.150276,uniform_fins,pending
id_train_0012,id_train,9.720805,6,3.630114,5.183104,1.27871,16.763676,uniform_fins,pending
id_train_0313,id_train,8.195683,7,2.547587,2.969453,1.310962,9.768935,uniform_fins,pending
id_train_0149,id_train,6.038978,8,3.074435,4.173738,1.40002,13.969004,uniform_fins,pending
id_train_0320,id_train,7.581593,4,4.782093,3.889398,1.404283,15.755873,uniform_fins,pending
id_train_0141,id_train,8.931955,5,2.566306,3.35358,1.493789,9.895794,uniform_fins,pending
id_train_0137,id_train,6.89489,6,4.252853,4.847321,0.970092,13.192052,uniform_fins,pending
id_train_0048,id_train,7.808935,7,3.898963,4.692583,1.232435,17.216108,uniform_fins,pending
id_train_0399,id_train,7.353513,8,3.848007,5.670918,1.162922,17.335779,uniform_fins,pending
id_train_0115,id_train,6.747272,4,2.484128,5.263559,1.122635,19.932249,uniform_fins,pending
id_train_0251,id_train,7.977507,5,3.472116,3.038395,0.87649,5.316779,uniform_fins,pending
id_train_0267,id_train,4.772447,6,2.594192,5.007982,1.182047,16.094822,uniform_fins,pending
id_train_0243,id_train,4.619705,7,3.3285,5.597369,0.445182,6.699152,uniform_fins,pending
id_train_0019,id_train,5.462021,8,2.380907,4.139067,0.898047,9.983084,uniform_fins,pending
id_train_0120,id_train,8.607472,4,5.763632,5.056708,1.173887,20.133131,uniform_fins,pending
id_train_0181,id_train,9.263783,5,5.26022,4.073279,0.878217,7.210732,uniform_fins,pending
id_train_0007,id_train,6.929168,6,4.228095,5.192984,0.833136,12.367973,uniform_fins,pending
id_train_0148,id_train,8.371404,7,4.236655,4.785973,1.429122,23.224122,uniform_fins,pending
id_train_0089,id_train,4.586098,8,2.480446,3.870537,1.422591,15.120463,uniform_fins,pending
id_train_0085,id_train,6.785576,4,2.745452,5.316087,1.083197,20.173406,uniform_fins,pending
id_train_0226,id_train,8.327618,5,2.900841,5.218053,0.708052,9.158022,uniform_fins,pending
id_train_0247,id_train,4.205117,6,2.381855,5.982907,1.048258,12.761644,uniform_fins,pending
id_train_0273,id_train,9.891836,7,4.934888,3.459271,1.263526,16.661649,uniform_fins,pending
id_train_0169,id_train,5.385486,8,2.195218,5.333383,1.257668,19.182881,uniform_fins,pending
id_train_0300,id_train,6.558467,4,2.305443,4.365085,1.499488,24.157782,uniform_fins,pending
id_train_0221,id_train,5.799171,5,3.851722,2.662872,1.002973,7.134229,uniform_fins,pending
id_train_0347,id_train,5.332827,6,2.068733,3.473443,1.448307,15.278437,uniform_fins,pending
id_train_0288,id_train,5.501025,7,2.030477,3.494627,1.487416,20.445851,uniform_fins,pending
