case_id,pool,case_dir,valid_geometry,invalid_reason,n_fin,h_ch_mm,h_fin_mm,d_in_mm,u_in_m_per_s,q_w_kw_m2,mesh_nx,mesh_ny,effective_inlet_width_mm,inlet_width_saturated,case_json_sha256,stl_sha256,status
id_train_0365,id_train,openfoam_cases/id_train_0365,true,,4,7.922245,3.018326,5.32411,1.155487,7.056702,240,32,5.32411,false,71693e95938f5f7468dad58535ab64592410dd76250745954008997187b88a03,f91cbb0e6bc8717cd1faaa85c3d306b58d2252abd7bd7b2daa5128ee024090a9,generated_not_solved
id_train_0381,id_train,openfoam_cases/id_train_0381,true,,5,6.160668,3.91042,5.777187,1.414188,8.544044,240,25,5.777187,false,98494060b460d97a671971ef4f25bd079a01c572d151f6b60a6f5246edb65145,42fbafa9f86fa48901fc68bb06ada8b9621b498ab4873dfa9d4705b299922361,generated_not_solved
id_train_0327,id_train,openfoam_cases/id_train_0327,true,,6,8.223206,5.344925,5.993518,1.252122,5.071113,240,33,5.993518,false,49b3de3dda03f06f5ba8660cc2acf2226bc0e91c4d00850519ecdec0a0805a4a,9b99bd93c12d767e5b5b9298bead5c455dfd36dbabf6b4f72a57ddbf220ce5d2,generated_not_solved
id_train_0258,id_train,openfoam_cases/id_train_0258,true,,7,7.53131,3.195204,4.929413,1.410533,8.319625,240,30,4.929413,false,8c3abd50f30a697dfab6322ff8fbd46a1336bb5890fa5a2768476a987de5aa68,448c9d01838a3bd0f0cac5abd8dd9919da734dfac9c500e6bf1b6e2ac74f466f,generated_not_solved
id_train_0054,id_train,openfoam_cases/id_train_0054,true,,8,6.716661,3.639655,3.425758,1.376599,7.770137,240,27,3.425758,false,06139354736a6ea967917607246fc975b17a8d3a3f64d4f9955c95cdd19e47cf,3351b954ac8688712e6d55c264895ac02aade57a017aa2ffe25faa637ebef5d0,generated_not_solved
id_train_0075,id_train,openfoam_cases/id_train_0075,true,,4,8.05894,2.263354,4.399295,1.424293,9.529571,240,32,4.399295,false,b8f086a93d177ee210ccf1696c7ae975f4f635190ab20a0853b17a888d1484ff,c345a686ee72b1e632e5cd593866dc37c946f31ee41dbbf295ec24a41751217e,generated_not_solved
id_train_0206,id_train,openfoam_cases/id_train_0206,true,,5,8.218414,3.58947,5.916099,0.967762,9.019523,240,33,5.916099,false,d81112f29696f41d7d84a59f8ed12814b2eb67766bd9a2e66e150bbb48b087c1,53097d3972cc68b0012ce2aa03dd4b32bbbdb6a0619f7a69834d8c95ad0a5ac4,generated_not_solved
id_train_0282,id_train,openfoam_cases/id_train_0282,true,,6,9.817531,2.994706,5.986709,1.433899,6.558249,240,39,5.986709,false,b9233ffab160cfa08d27746219f7fdb4cc9ddf3a8da47683f5d2b7df4af0f0bd,6e519ffa665167e5c732cd37c0834dcf08f96834aa6762efb688cf43e465d04c,generated_not_solved
id_train_0163,id_train,openfoam_cases/id_train_0163,true,,7,5.934605,3.59756,4.650766,1.361736,8.013395,240,24,4.650766,false,9ea843df20220795a48a93d305587bb27295c6bd730bd07f4b2171f4209ab7ca,a5cf882b9df61657c105731c26f0b4fc9961d3a9a7f579a85b6f21e901fd9fda,generated_not_solved
id_train_0319,id_train,openfoam_cases/id_train_0319,true,,8,7.452337,2.459613,3.634519,0.928225,5.559489,240,30,3.634519,false,8ce226ac222eb958f23a22583989205b246d108260fe796cdb8b4fafd59c1f9f,6a42eaa99e19d566f4f329b3adbfaff21edbef922583fc299c1d32ab074fd5c9,generated_not_solved
id_train_0015,id_train,openfoam_cases/id_train_0015,true,,4,6.82987,3.380282,4.826404,1.436808,12.942178,240,27,4.826404,false,1486c736a6baf7469ef05e573eb900eb0d96e144a10ef5b1c713bfd565c4685a,d079ea4e3330a121f08758a7169f9a41f80f3fbe4423bdf59031e1e046b4b4b4,generated_not_solved
id_train_0216,id_train,openfoam_cases/id_train_0216,true,,5,6.588624,3.628481,3.663289,0.939031,5.883544,240,26,3.663289,false,4bb76123074fc2ae9fc0cabb3840af3d1403bb404fe8909b60d44792c3d4db79,914f2f2fe95d8aa0d835f460cb7185dcf417fc62070f028dee043ece12cbb371,generated_not_solved
id_train_0202,id_train,openfoam_cases/id_train_0202,true,,6,5.085359,3.242579,5.499436,1.181465,8.500314,240,20,5.085359,true,bbb98b8a80ddca18b66ab3487daaf0e418cf93316b4b5e1c295dc08f85bcf0c2,3ace03262735d6e0c376f6f50aaaa66b7b273e94d4e83fa35b0a43f2f7f5de66,generated_not_solved
id_train_0268,id_train,openfoam_cases/id_train_0268,true,,7,6.449356,2.575067,5.534451,1.141661,10.185546,240,26,5.534451,false,eeec14924fa409e3fb790e98e3acbb27fc6225e029e55e51c41017556205b7c2,1045c04950877dcf790251fc2f454eaca3e1d7fd4f8458e104179646a7966476,generated_not_solved
id_train_0199,id_train,openfoam_cases/id_train_0199,true,,8,4.24454,2.57016,3.767001,0.860583,7.458045,240,17,3.767001,false,1789ee76cc9197105b9c9015706ad63e5412a547102b26b2d28396342f700e49,453daf737329a3090ea99f1f6e72891f8fab53be4103a2c4bc9d26d4025634c1,generated_not_solved
id_train_0240,id_train,openfoam_cases/id_train_0240,true,,4,4.440557,2.590686,4.826739,0.648934,5.403846,240,18,4.440557,true,a5c35db8fdc231fd22dd66a68a99ffb53f7847aae61ea5a59b86bc92519892c2,80a3a5d51f9a2c5c6f79d81f006e31b53e3be2dc965064514bbf1625e0882771,generated_not_solved
id_train_0046,id_train,openfoam_cases/id_train_0046,true,,5,9.432874,2.288464,5.944696,1.421897,14.719547,240,38,5.944696,false,3bc7a4c36e9f58926be36d7dc4b9b3d6f226eb3cce17e136d677035f70d9d48a,0f0774f0144d10e30f0cc6555d1423dca9a30bcd1f873c0b4ac8dd684dae9444,generated_not_solved
id_train_0057,id_train,openfoam_cases/id_train_0057,true,,6,9.177525,4.55691,5.176662,0.772994,6.321667,240,37,5.176662,false,d3d6beb6ec48c12d946fddf4b50b9d8b5cdd74d39347425238bf4f508eb9e5a9,f2850aad90c9e03503344666834f01540f2bc39646626a73fe790f6eafb47158,generated_not_solved
id_train_0003,id_train,openfoam_cases/id_train_0003,true,,7,8.406928,2.401077,4.61701,0.908644,7.781192,240,34,4.61701,false,08813a2bc6c49a8143139aab0027d34981266a456a00fc4ffe7720208c0dbe97,dbe829f36e271195d15f313733bb3fd7c14489076b36969eef3aa101b0bc156e,generated_not_solved
id_train_0254,id_train,openfoam_cases/id_train_0254,true,,8,7.174577,2.459933,5.136303,1.21471,14.761976,240,29,5.136303,false,2b1f45e84f9dc2d675973549e938c2e3ba16ec5e322910b838d0515edc003b40,d3f17760d9cf6f7b61266e4ee40997ba500fae0865f37318f9323379f91864bf,generated_not_solved
id_train_0150,id_train,openfoam_cases/id_train_0150,true,,4,8.001134,5.571559,4.603937,1.130839,13.800537,240,32,4.603937,false,8f26bc332efca77ccb7ecc6cbd8082f5b5f289316ecad06af81e7c8d239a79f8,9c61e3e14c7eea1f413ecd196a0bd3b76351918653415d2d347d8dc21e74c8e6,generated_not_solved
id_train_0201,id_train,openfoam_cases/id_train_0201,true,,5,4.254862,2.337482,5.965655,1.343375,10.411439,240,17,4.254862,true,81f20f3d58fd2c5661d353f855460f0a45a7a0f442e7e75bfcdcaa05ab4b2d43,aca217860b4b825a5167fa3d42e5887eb37e4034431da776b63ad015f1a48c89,generated_not_solved
id_train_0312,id_train,openfoam_cases/id_train_0312,true,,6,6.969011,2.420423,5.571737,1.010999,9.377112,240,28,5.571737,false,a16469e63e05c565d13db314a6f78a85650b8917260d4d9493ac151fa5d87137,2ac51d57cee34ee0a337fb4e36344710448ce1156e952c418e6331c3e99e5b91,generated_not_solved
id_train_0223,id_train,openfoam_cases/id_train_0223,true,,7,5.951409,2.541622,4.3449,0.846271,7.631896,240,24,4.3449,false,df5609a0317e66fce7407849be175d89045bb21b839e3d86347cb15ac583f1cf,c91f87f96959fac1bbf6d49612f3532cbbddcad7b9765d048e468fe6dc6ce7d1,generated_not_solved
id_train_0024,id_train,openfoam_cases/id_train_0024,true,,8,6.30351,3.522296,5.09063,0.755763,9.105251,240,25,5.09063,false,1874abb596ef3d811929c30a280896e2b75fb6ca16c0d734a9d91b741cd736e4,836454706ecb0e995fb67b17cece36b6dd0593bdd1c7e6a6484cb5c717a9f552,generated_not_solved
id_train_0230,id_train,openfoam_cases/id_train_0230,true,,4,5.010317,2.217576,4.387614,1.340177,16.597401,240,20,4.387614,false,7959a970f60da714e71ebd81b9e914b2d0473464a8490d35f02a5bc527eed688,8c6bcb0f93def70b988d31a54a5ad05cd65e0b93a8adf35e336cd305eb6b50f3,generated_not_solved
