combined_position,case_id,pool,selection_status,converged,dropped,has_archive_manifest_row,archive_exists,archive_path,drop_reason,flow_converged_reported,raw_enthalpy_passed,raw_temperature_extrema_passed,raw_temperature_max_T_K,wall_time_sec
1,id_train_0365,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0365.tar.gz,,true,true,true,304.52932,57.553
2,id_train_0381,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,309.41077,233.828
3,id_train_0327,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,302.52366,319.948
4,id_train_0258,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0258.tar.gz,,true,true,true,306.43363,48.972
5,id_train_0054,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0054.tar.gz,,true,true,true,308.43316,36.129
6,id_train_0075,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0075.tar.gz,,true,true,true,304.58185,36.456
7,id_train_0206,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0206.tar.gz,,true,true,true,310.42901,73.210
8,id_train_0282,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,304.2193,309.690
9,id_train_0163,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0163.tar.gz,,true,true,true,308.51765,42.937
10,id_train_0319,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0319.tar.gz,,true,true,true,301.30222,43.337
11,id_train_0015,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0015.tar.gz,,true,true,true,315.48794,39.737
12,id_train_0216,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0216.tar.gz,,true,true,true,304.30373,30.108
13,id_train_0202,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0202.tar.gz,,true,true,true,306.54343,32.166
14,id_train_0268,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0268.tar.gz,,true,true,true,306.0857,36.718
15,id_train_0199,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0199.tar.gz,,true,true,true,302.64026,58.904
16,id_train_0240,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0240.tar.gz,,true,true,true,300.28552,32.197
17,id_train_0046,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0046.tar.gz,,true,true,true,311.58155,43.068
18,id_train_0057,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0057.tar.gz,,true,true,true,311.95592,140.617
19,id_train_0003,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0003.tar.gz,,true,true,true,304.26334,41.045
20,id_train_0254,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0254.tar.gz,,true,true,true,312.14409,70.911
21,id_train_0150,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,316.95846,282.510
22,id_train_0201,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,304.40183,149.610
23,id_train_0312,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0312.tar.gz,,true,true,true,305.17323,39.679
24,id_train_0223,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0223.tar.gz,,true,true,true,302.68162,31.942
25,id_train_0024,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0024.tar.gz,,true,true,true,309.49136,31.837
26,id_train_0230,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,311.69974,145.724
27,id_train_0346,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0346.tar.gz,,true,true,true,321.60059,42.602
28,id_train_0012,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,329.08716,338.799
29,id_train_0313,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0313.tar.gz,,true,true,true,307.39838,35.306
30,id_train_0149,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0149.tar.gz,,true,true,true,315.72828,21.875
31,id_train_0320,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0320.tar.gz,,true,true,true,336.53132,34.375
32,id_train_0141,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0141.tar.gz,,true,true,true,308.00898,36.307
33,id_train_0137,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0137.tar.gz,,true,true,true,324.28206,26.159
34,id_train_0048,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0048.tar.gz,,true,true,true,328.09132,31.855
35,id_train_0399,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0399.tar.gz,,true,true,true,328.57462,26.101
36,id_train_0115,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0115.tar.gz,,true,true,true,320.17177,19.505
37,id_train_0251,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0251.tar.gz,,true,true,true,303.50048,33.047
38,id_train_0267,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0267.tar.gz,,true,true,true,313.08969,28.955
39,id_train_0243,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0243.tar.gz,,true,true,true,303.74758,17.750
40,id_train_0019,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0019.tar.gz,,true,true,true,305.77094,25.578
41,id_train_0120,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,327.69191,191.587
42,id_train_0181,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0181.tar.gz,,true,true,true,318.87182,110.997
43,id_train_0007,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0007.tar.gz,,true,true,true,322.57048,25.608
44,id_train_0148,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0148.tar.gz,,true,true,true,346.63434,46.226
45,id_train_0089,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0089.tar.gz,,true,true,true,310.56485,18.604
46,id_train_0085,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0085.tar.gz,,true,true,true,323.58151,19.801
47,id_train_0226,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0226.tar.gz,,true,true,true,308.27827,34.065
48,id_train_0247,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,307.79018,112.835
49,id_train_0273,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0273.tar.gz,,true,true,true,349.03746,111.369
50,id_train_0169,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0169.tar.gz,,true,true,true,314.69936,25.746
51,id_train_0300,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0300.tar.gz,,true,true,true,322.5324,17.951
52,id_train_0221,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0221.tar.gz,,true,true,true,307.44734,18.841
53,id_train_0347,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0347.tar.gz,,true,true,true,308.74975,17.202
54,id_train_0288,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0288.tar.gz,,true,true,true,312.41167,18.782
55,id_train_0259,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0259.tar.gz,,true,true,true,360.5225,72.690
56,id_train_0270,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0270.tar.gz,,true,true,true,319.47627,95.122
57,id_train_0231,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0231.tar.gz,,true,true,true,303.35346,29.897
58,id_train_0117,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,311.25155,162.796
59,id_train_0303,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0303.tar.gz,,true,true,true,321.82781,94.817
60,id_train_0349,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,341.13758,334.724
61,id_train_0265,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0265.tar.gz,,true,true,true,322.52425,36.796
62,id_train_0271,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0271.tar.gz,,true,true,true,326.35769,83.301
63,id_train_0232,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0232.tar.gz,,true,true,true,339.30742,126.542
64,id_train_0378,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0378.tar.gz,,true,true,true,311.60681,35.282
65,id_train_0194,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0194.tar.gz,,true,true,true,301.75127,22.433
66,id_train_0035,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0035.tar.gz,,true,true,true,346.05495,40.167
67,id_train_0356,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0356.tar.gz,,true,true,true,369.80332,213.653
68,id_train_0372,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0372.tar.gz,,true,true,true,309.22065,31.272
69,id_train_0083,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0083.tar.gz,,true,true,true,322.00082,155.091
70,id_train_0339,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0339.tar.gz,,true,true,true,303.52686,32.823
71,id_train_0215,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0215.tar.gz,,true,true,true,318.60499,51.929
72,id_train_0121,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0121.tar.gz,,true,true,true,316.16732,31.897
73,id_train_0022,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0022.tar.gz,,true,true,true,323.31412,44.877
74,id_train_0343,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0343.tar.gz,,true,true,true,315.96003,27.279
75,id_train_0379,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0379.tar.gz,,true,true,true,311.01154,46.416
76,id_train_0395,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0395.tar.gz,,true,true,true,340.07453,56.362
77,id_train_0191,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0191.tar.gz,,true,true,true,319.86585,46.828
78,id_train_0087,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0087.tar.gz,,true,true,true,321.73,51.499
79,id_train_0038,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0038.tar.gz,,true,true,true,322.59016,31.919
80,id_train_0119,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0119.tar.gz,,true,true,true,321.93963,51.256
81,id_train_0380,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0380.tar.gz,,true,true,true,323.40334,28.582
82,id_train_0236,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0236.tar.gz,,true,true,true,386.2788,93.238
83,id_train_0107,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0107.tar.gz,,true,true,true,317.40405,28.030
84,id_train_0073,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0073.tar.gz,,true,true,true,354.06198,150.855
85,id_train_0164,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0164.tar.gz,,true,true,true,318.92658,39.254
86,id_train_0030,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,322.28212,167.242
87,id_train_0256,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,311.4431,153.827
88,id_train_0222,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0222.tar.gz,,true,true,true,329.0385,49.155
89,id_train_0213,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0213.tar.gz,,true,true,true,391.21902,153.754
90,id_train_0364,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0364.tar.gz,,true,true,true,388.21062,129.688
91,id_train_0360,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0360.tar.gz,,true,true,true,355.45508,68.106
92,id_train_0306,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0306.tar.gz,,true,true,true,379.69509,101.306
93,id_train_0252,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0252.tar.gz,,true,true,true,336.03426,38.465
94,id_train_0283,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0283.tar.gz,,true,true,true,333.82082,58.100
95,id_train_0064,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,349.56327,399.299
96,id_train_0385,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0385.tar.gz,,true,true,true,315.80528,52.849
97,id_train_0081,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0081.tar.gz,,true,true,true,344.37476,93.243
98,id_train_0227,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0227.tar.gz,,true,true,true,321.79167,25.691
99,id_train_0153,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0153.tar.gz,,true,true,true,335.46982,157.300
100,id_train_0014,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0014.tar.gz,,true,true,true,323.82111,26.712
101,id_train_0010,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0010.tar.gz,,true,true,true,320.679,12.707
102,id_train_0336,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0336.tar.gz,,true,true,true,310.81262,24.848
103,id_train_0292,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0292.tar.gz,,true,true,true,328.6781,20.690
104,id_train_0008,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0008.tar.gz,,true,true,true,306.96717,22.126
105,id_train_0369,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0369.tar.gz,,true,true,true,329.34915,36.501
106,id_train_0290,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0290.tar.gz,,true,true,true,306.74378,18.068
107,id_train_0011,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0011.tar.gz,,true,true,true,352.63637,38.046
108,id_train_0332,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0332.tar.gz,,true,true,true,312.33,16.984
109,id_train_0068,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0068.tar.gz,,true,true,true,331.02168,22.206
110,id_train_0209,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,360.30401,251.197
111,id_train_0165,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0165.tar.gz,,true,true,true,367.15313,47.504
112,id_train_0151,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0151.tar.gz,,true,true,true,319.11807,15.508
113,id_train_0367,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0367.tar.gz,,true,true,true,304.0787,13.902
114,id_train_0143,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0143.tar.gz,,true,true,true,389.8331,51.380
115,id_train_0384,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0384.tar.gz,,true,true,true,309.78327,23.848
116,id_train_0155,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0155.tar.gz,,true,true,true,369.76752,23.281
117,id_train_0086,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,320.04766,118.662
118,id_train_0357,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0357.tar.gz,,true,true,true,318.03031,17.419
119,id_train_0118,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0118.tar.gz,,true,true,true,381.84081,75.686
120,id_train_0049,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0049.tar.gz,,true,true,true,330.04928,126.480
121,id_train_0090,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0090.tar.gz,,true,true,true,347.13371,103.114
122,id_train_0326,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,326.70205,175.921
123,id_train_0037,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0037.tar.gz,,true,true,true,343.638,39.948
124,id_train_0298,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0298.tar.gz,,true,true,true,333.62492,32.631
125,id_train_0039,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0039.tar.gz,,true,true,true,301.55936,15.291
126,id_train_0280,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0280.tar.gz,,true,true,true,346.48435,54.738
127,id_train_0281,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0281.tar.gz,,true,true,true,341.45077,30.306
128,id_train_0162,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0162.tar.gz,,true,true,true,324.26678,59.938
129,id_train_0233,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0233.tar.gz,,true,true,true,335.26442,61.808
130,id_train_0139,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0139.tar.gz,,true,true,true,343.65827,37.327
131,id_train_0370,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0370.tar.gz,,true,true,true,345.19174,33.148
132,id_train_0116,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0116.tar.gz,,true,true,true,312.48737,34.016
133,id_train_0382,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0382.tar.gz,,true,true,true,325.33401,189.904
134,id_train_0093,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0093.tar.gz,,true,true,true,324.58916,26.328
135,id_train_0324,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0324.tar.gz,,true,true,true,323.50039,33.833
136,id_train_0245,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0245.tar.gz,,true,true,true,351.59536,77.991
137,id_train_0341,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,325.69275,264.265
138,id_train_0062,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0062.tar.gz,,true,true,true,326.23171,56.549
139,id_train_0193,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0193.tar.gz,,true,true,true,369.49914,113.166
140,id_train_0074,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0074.tar.gz,,true,true,true,328.23732,66.150
141,id_train_0190,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0190.tar.gz,,true,true,true,307.64327,36.572
142,id_train_0331,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0331.tar.gz,,true,true,true,354.94922,166.469
143,id_train_0287,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0287.tar.gz,,true,true,true,343.94039,46.376
144,id_train_0358,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0358.tar.gz,,true,true,true,434.91724,162.126
145,id_train_0154,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0154.tar.gz,,true,true,true,308.60486,26.643
146,id_train_0100,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0100.tar.gz,,true,true,true,383.93102,52.664
147,id_train_0371,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0371.tar.gz,,true,true,true,353.51691,73.970
148,id_train_0342,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0342.tar.gz,,true,true,true,333.43216,79.092
149,id_train_0183,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0183.tar.gz,,true,true,true,336.46567,92.762
150,id_train_0204,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0204.tar.gz,,true,true,true,321.7294,55.298
151,id_train_0040,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0040.tar.gz,,true,true,true,358.63446,43.713
152,id_train_0111,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0111.tar.gz,,true,true,true,356.97672,47.703
153,id_train_0337,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0337.tar.gz,,true,true,true,337.99217,46.946
154,id_train_0333,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0333.tar.gz,,true,true,true,418.19614,109.278
155,id_train_0299,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0299.tar.gz,,true,true,true,316.87129,32.492
156,id_train_0345,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,357.56624,177.556
157,id_train_0076,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,325.49354,146.008
158,id_train_0072,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0072.tar.gz,,true,true,true,321.61705,44.387
159,id_train_0293,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0293.tar.gz,,true,true,true,306.09167,15.309
160,id_train_0289,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0289.tar.gz,,true,true,true,333.84677,34.910
161,id_train_0210,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,357.58258,165.947
162,id_train_0056,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0056.tar.gz,,true,true,true,315.54305,24.441
163,id_train_0352,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0352.tar.gz,,true,true,true,352.23019,203.828
164,id_train_0133,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0133.tar.gz,,true,true,true,454.229,91.916
165,id_train_0304,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0304.tar.gz,,true,true,true,392.06927,107.275
166,id_train_0185,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0185.tar.gz,,true,true,true,363.38667,28.532
167,id_train_0126,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0126.tar.gz,,true,true,true,310.26284,39.348
168,id_train_0112,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0112.tar.gz,,true,true,true,325.93715,68.233
