case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,combined_position,archive_path,archive_sha256,archive_size_bytes,flow_converged_reported,raw_enthalpy_passed,raw_enthalpy_balance_ratio,raw_temperature_extrema_passed,raw_temperature_max_T_K,wall_time_sec
id_train_0365,id_train,7.922245,4,3.018326,5.32411,1.155487,7.056702,uniform_fins,pending,1,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0365.tar.gz,cc593fcaf6689f18d58c27e7cc15aed8d5b60b878620408bf022d9a463b8933f,988001,true,true,0.9953497315321574,true,304.52932,57.553
id_train_0258,id_train,7.53131,7,3.195204,4.929413,1.410533,8.319625,uniform_fins,pending,4,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0258.tar.gz,29e4e49ac7f9e03f5e911577bad58e42d971514741dd55de67cadf5ddd457d2f,1242196,true,true,0.984514438520317,true,306.43363,48.972
id_train_0054,id_train,6.716661,8,3.639655,3.425758,1.376599,7.770137,uniform_fins,pending,5,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0054.tar.gz,345eebc2c5af5089aa0138922ac481315b05e4241077502b8111a18f9e43e240,1495914,true,true,0.9609034497486126,true,308.43316,36.129
id_train_0075,id_train,8.05894,4,2.263354,4.399295,1.424293,9.529571,uniform_fins,pending,6,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0075.tar.gz,789b18fe0fcffb8b697eb8384258d82f0cbb97c499eadc69416361567e7443e3,861387,true,true,0.9997821022773544,true,304.58185,36.456
id_train_0206,id_train,8.218414,5,3.58947,5.916099,0.967762,9.019523,uniform_fins,pending,7,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0206.tar.gz,4352ee1a9c0cc38f2a6d73c9c780e9112b6d6f9946e8661c1cf22ace40da36f9,1223615,true,true,0.9866363691522646,true,310.42901,73.210
id_train_0163,id_train,5.934605,7,3.59756,4.650766,1.361736,8.013395,uniform_fins,pending,9,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0163.tar.gz,185e2c9ab6445c3c1325ace7ccc6b9b763ce74fb53389bce30d971b59f0af408,1294459,true,true,0.9290776470840734,true,308.51765,42.937
id_train_0319,id_train,7.452337,8,2.459613,3.634519,0.928225,5.559489,uniform_fins,pending,10,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0319.tar.gz,e2a30447fc62d820fcfbc3a8f662bb46275ccfb73eb5a8184f633162e81b8bb4,1320695,true,true,0.9997300852562353,true,301.30222,43.337
id_train_0015,id_train,6.82987,4,3.380282,4.826404,1.436808,12.942178,uniform_fins,pending,11,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0015.tar.gz,9fb8f0576452f89e2e9bd3285b7a3dfd006dc6c3456f3859473cfe3ecb69192d,933914,true,true,0.9662396193628889,true,315.48794,39.737
id_train_0216,id_train,6.588624,5,3.628481,3.663289,0.939031,5.883544,uniform_fins,pending,12,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0216.tar.gz,1dba240dbf7330de65f7f33fbaa58cbc3eff14c2dbd14e7456d1c54ed9fec8a7,1053697,true,true,0.9695273391454413,true,304.30373,30.108
id_train_0202,id_train,5.085359,6,3.242579,5.499436,1.181465,8.500314,uniform_fins,pending,13,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0202.tar.gz,ba23707f0e0fb49bac5dece658a8c815b6524b7ff8f2149d3236e3bae8a88fd2,974277,true,true,0.9191690695310739,true,306.54343,32.166
id_train_0268,id_train,6.449356,7,2.575067,5.534451,1.141661,10.185546,uniform_fins,pending,14,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0268.tar.gz,7f481f0890fd1f84db2a379b9c9cbc24621fa2d19fcd7b2de57d67d373865f3e,1097049,true,true,0.9905488042647508,true,306.0857,36.718
id_train_0199,id_train,4.24454,8,2.57016,3.767001,0.860583,7.458045,uniform_fins,pending,15,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0199.tar.gz,65b80b4a09e4c9e613282c4840b505d5bf4d107305927f896b86c84d56c982cc,1038637,true,true,0.9721592631491001,true,302.64026,58.904
id_train_0240,id_train,4.440557,4,2.590686,4.826739,0.648934,5.403846,uniform_fins,pending,16,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0240.tar.gz,4df86b86ee2f3444410d4eca889bd842bf2ca50f7db8385e7771e0fd9f7a1f54,678953,true,true,0.9950914572925449,true,300.28552,32.197
id_train_0046,id_train,9.432874,5,2.288464,5.944696,1.421897,14.719547,uniform_fins,pending,17,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0046.tar.gz,6dddf3177d6754e13a9f4931bfb5de4816548807a875528fb6b482a31f53f232,1078710,true,true,0.9997249728934922,true,311.58155,43.068
id_train_0057,id_train,9.177525,6,4.55691,5.176662,0.772994,6.321667,uniform_fins,pending,18,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0057.tar.gz,848ddaf8e731d5dbb53ce607e63178e44377ea315862914f2f8325dd52141174,1503460,true,true,1.6821210184744229,true,311.95592,140.617
id_train_0003,id_train,8.406928,7,2.401077,4.61701,0.908644,7.781192,uniform_fins,pending,19,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0003.tar.gz,63782c3242e731f8e5abf9c633130f7151968c1ff90265730ae51cf988f784d4,1257041,true,true,1.00000691309945,true,304.26334,41.045
id_train_0254,id_train,7.174577,8,2.459933,5.136303,1.21471,14.761976,uniform_fins,pending,20,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0254.tar.gz,deedec366075edc4babc9b10e5a88b960ddddb3f7861b09fd142bc69612eb7f4,1256661,true,true,0.9980650508946318,true,312.14409,70.911
id_train_0312,id_train,6.969011,6,2.420423,5.571737,1.010999,9.377112,uniform_fins,pending,23,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0312.tar.gz,a80cd2902517e0265b3ddda79e04a8a2ef5687e5ed7b0637faef68c05d5e8b8f,1026744,true,true,0.9988017927154498,true,305.17323,39.679
id_train_0223,id_train,5.951409,7,2.541622,4.3449,0.846271,7.631896,uniform_fins,pending,24,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0223.tar.gz,0d0fe9695eceb1005b211671344a79218a6bad9648bdd5057f17e2d0fe437da2,1028595,true,true,0.9963406905249506,true,302.68162,31.942
id_train_0024,id_train,6.30351,8,3.522296,5.09063,0.755763,9.105251,uniform_fins,pending,25,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0024.tar.gz,42a181a5d2b94bd92e7fdc0043648d9a78c1649ab1dc1dd695f541cb91f9f371,1349914,true,true,0.9620031304616987,true,309.49136,31.837
id_train_0346,id_train,7.892738,5,4.253039,4.69647,1.39168,12.150276,uniform_fins,pending,27,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0346.tar.gz,54ddd47444831e40cbfa5f0142b45c4452b04b84b0512b84dcf20c90d661aa3e,1193642,true,true,0.959364868045125,true,321.60059,42.602
id_train_0313,id_train,8.195683,7,2.547587,2.969453,1.310962,9.768935,uniform_fins,pending,29,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0313.tar.gz,5e6304e730df1d1b6a567edeaa4a1fcdcfb98780d494f98b70b0a23cde066db8,1231398,true,true,0.9998500077889578,true,307.39838,35.306
id_train_0149,id_train,6.038978,8,3.074435,4.173738,1.40002,13.969004,uniform_fins,pending,30,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0149.tar.gz,732b53aaf6723eab9a94337538c626e11a9a5d92fd677411e779a1f03a954a57,1274824,true,true,0.9626654664236706,true,315.72828,21.875
id_train_0320,id_train,7.581593,4,4.782093,3.889398,1.404283,15.755873,uniform_fins,pending,31,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0320.tar.gz,c4d44dbe0658fcb7db851bf87b8ecc7b35647197055d63e99e03c3bf5135f7e4,1102912,true,true,0.9350489667508374,true,336.53132,34.375
id_train_0141,id_train,8.931955,5,2.566306,3.35358,1.493789,9.895794,uniform_fins,pending,32,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0141.tar.gz,2fdde3ebc21ea570683d0eb4786819576e6d3fe3795194bf7e31466f74999515,1102738,true,true,0.9994998342024053,true,308.00898,36.307
id_train_0137,id_train,6.89489,6,4.252853,4.847321,0.970092,13.192052,uniform_fins,pending,33,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0137.tar.gz,dd49ef547ec31d50fa6de11f34ea4ed2499a971d18fe09ecf276bab44361b0dd,1303701,true,true,0.9423328834942091,true,324.28206,26.159
id_train_0048,id_train,7.808935,7,3.898963,4.692583,1.232435,17.216108,uniform_fins,pending,34,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0048.tar.gz,8cd8bd593cb60269f2cf4a4d9432d4a183e2483132364b6a02922818e7939ce8,1425294,true,true,0.9708018419332466,true,328.09132,31.855
