case_id,pool,case_dir,valid_geometry,invalid_reason,n_fin,h_ch_mm,h_fin_mm,d_in_mm,u_in_m_per_s,q_w_kw_m2,mesh_nx,mesh_ny,effective_inlet_width_mm,inlet_width_saturated,case_json_sha256,stl_sha256,status
ood_test_pbf04_0043,ood_test,openfoam_cases/ood_test_pbf04_0043,true,,12,12.138235,5.382468,5.649896,0.959101,16.617174,240,49,5.649896,false,6dfb67c5f5091d47f7668a54837b3a30f54e98de281abc922627a770fd1a7075,7c4a35650419ee9573838fef40b77ee71c34da05ffe0a8166bc88b8dd33b566e,generated_not_solved
ood_test_pbf04_0039,ood_test,openfoam_cases/ood_test_pbf04_0039,true,,12,7.863465,3.582286,7.581058,1.248308,5.877,240,31,7.581058,false,3adb8029a71c93d27a4348a6f301dd87fb7a6443c31ac961f0524c4b8e1c154d,a1647e79ce9f751868b589765926a58b609bfd67dc11c0f332e7ad9173337bc9,generated_not_solved
ood_test_pbf04_0008,ood_test,openfoam_cases/ood_test_pbf04_0008,true,,10,7.637068,2.663237,0.663741,0.940425,49.619522,240,31,0.663741,false,06c766c0e8432b2cd29f85e50e8cbfe043f3215c6aaa15d5b8197e2f6c9afaec,ea235ed19006f1f5260f0bfa59ab451232eb4b12f48cf43e7d1ae66f39fd5219,generated_not_solved
ood_test_pbf04_0032,ood_test,openfoam_cases/ood_test_pbf04_0032,true,,12,12.257615,4.205786,3.137241,1.174566,18.684007,240,49,3.137241,false,7443cea9de4a562ab5d8cfbc5fe44ee280cd5f6c19c0c711c2f19fc1a0279171,276573410fd66c2207998fd546e76d7d00228433f8d7bc2776a21ae68f3dbf52,generated_not_solved
ood_test_pbf04_0015,ood_test,openfoam_cases/ood_test_pbf04_0015,true,,10,11.54371,5.664892,2.877924,0.354523,19.201103,240,46,2.877924,false,59a44e4314c2182efa36dfd63ecf8d75e2acd820bf21cbb64e92ddc3cbad9abf,fa82a46f55e521bf90a9b5bc15b3dade654a8ed3dcf904d4a8c5bbcb559d8daa,generated_not_solved
ood_test_pbf04_0044,ood_test,openfoam_cases/ood_test_pbf04_0044,true,,12,12.015918,4.026662,5.512369,0.463208,40.20148,240,48,5.512369,false,6b04d6e53793869d3f90c8c50b3e5b19382c6d2c94f2874b2bd456bc4a8bd797,57adee280f6fd912d0a63b5a1fd9ce74bfc7b263252c72b8a24ededf4ecd04bb,generated_not_solved
ood_test_pbf04_0014,ood_test,openfoam_cases/ood_test_pbf04_0014,true,,10,9.113943,2.174814,0.400702,1.422591,17.727674,240,36,0.400702,false,2305180cb3d057af1f98d711ccffe764904367a8aa7339baa582f6d5b1d17851,e0ea33b74afb5a42b689ce7f668bffdab864a3ec657791521461e539590d0006,generated_not_solved
ood_test_pbf04_0037,ood_test,openfoam_cases/ood_test_pbf04_0037,true,,12,11.533151,4.241415,5.11077,0.62293,26.243291,240,46,5.11077,false,3990f2b2957338071f6638af81eeaa0af9c32069b9a4c26a2980aba866ba41aa,4ee117b04d407a374290831bcc17e1ed15515a564d98253eef5b33856f2969ec,generated_not_solved
ood_test_pbf04_0009,ood_test,openfoam_cases/ood_test_pbf04_0009,true,,10,11.522292,2.755584,4.716446,1.389213,16.818535,240,46,4.716446,false,c04c7a5e3e77fb5d1d84ff41c3dc893e695b3c2a593bbbbe4d9a0447111dd209,2b252c509bff7038d9e599afb2bd2969a4bfdc251c3453906acd7276ff2d362c,generated_not_solved
ood_test_pbf04_0052,ood_test,openfoam_cases/ood_test_pbf04_0052,true,,12,11.942556,3.987641,3.864016,1.449182,44.142665,240,48,3.864016,false,d66de77577501ce276db172b38f50135143c4cdfcec04217ec3041c208e42473,bca48aea1b726af48039b0bea8d4b4aba96c90398f2c61d6356e65f66170daca,generated_not_solved
ood_test_pbf04_0025,ood_test,openfoam_cases/ood_test_pbf04_0025,true,,10,12.095467,4.013914,4.284353,0.330258,10.624998,240,48,4.284353,false,de12cf4fbff77abe04778724c732252ce7595bed53fc40cd3c436996d8290372,6f1fa958bb741dcf2fe91e03ca80e41a54f6a676502760f4126b8d3168bc6d52,generated_not_solved
