case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,backfill_round,replacement_for,candidate_index_for_replacement,target_ood_axis,target_distance_bin,target_nearest_id_train_distance,nearest_id_train_distance,temperature_risk_proxy,generation_note
ood_test_pbf04_0043,ood_test,12.138235,12,5.382468,5.649896,0.959101,16.617174,uniform_fins,pending,4,ood_test_0002,0,h_ch_high,5,1.21020010,1.18645840,4.59984957,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0039,ood_test,7.863465,12,3.582286,7.581058,1.248308,5.877,uniform_fins,pending,4,ood_test_0005,0,d_in_high,5,1.24719643,1.14404180,0.93152685,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0008,ood_test,7.637068,10,2.663237,0.663741,0.940425,49.619522,uniform_fins,pending,4,ood_test_0007,0,d_in_low,4,0.83054130,0.83003498,99.36645088,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0032,ood_test,12.257615,12,4.205786,3.137241,1.174566,18.684007,uniform_fins,pending,4,ood_test_0008,0,h_ch_high,4,1.11301301,1.10273685,7.60564364,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0015,ood_test,11.54371,10,5.664892,2.877924,0.354523,19.201103,uniform_fins,pending,4,ood_test_0010,0,h_ch_high,2,0.70032945,0.66192860,23.52406949,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0044,ood_test,12.015918,12,4.026662,5.512369,0.463208,40.20148,uniform_fins,pending,4,ood_test_0014,0,h_ch_high,4,1.13147930,1.14106336,23.61668667,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0014,ood_test,9.113943,10,2.174814,0.400702,1.422591,17.727674,uniform_fins,pending,4,ood_test_0019,0,d_in_low,4,0.83782456,0.86034985,38.87408705,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0037,ood_test,11.533151,12,4.241415,5.11077,0.62293,26.243291,uniform_fins,pending,4,ood_test_0020,0,h_ch_high,4,1.12802153,1.14001793,12.36471104,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0009,ood_test,11.522292,10,2.755584,4.716446,1.389213,16.818535,uniform_fins,pending,4,ood_test_0022,0,h_ch_high,1,0.62518969,0.63412281,3.20859181,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0052,ood_test,11.942556,12,3.987641,3.864016,1.449182,44.142665,uniform_fins,pending,4,ood_test_0026,0,h_ch_high,5,1.18045807,1.14159764,11.82464091,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0025,ood_test,12.095467,10,4.013914,4.284353,0.330258,10.624998,uniform_fins,pending,4,ood_test_0028,0,h_ch_high,3,0.71068181,0.80618523,9.38642635,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0026,ood_test,4.763523,12,2.18589,7.469007,1.486249,7.06418,uniform_fins,pending,4,ood_test_0029,0,d_in_high,5,1.18477511,1.14825306,1.49669454,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0029,ood_test,12.215984,3,3.879965,2.338813,1.346449,42.165224,uniform_fins,pending,4,ood_test_0030,0,h_ch_high,2,0.66928329,0.68288045,5.02111620,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0033,ood_test,12.037863,12,2.141574,2.626912,0.697059,32.810409,uniform_fins,pending,4,ood_test_0032,0,h_ch_high,5,1.16541399,1.17361157,26.87743621,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0002,ood_test,5.029008,12,3.346858,7.197947,1.496782,22.232011,uniform_fins,pending,4,ood_test_0035,0,d_in_high,4,1.09902615,1.07149255,4.43025913,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0007,ood_test,12.152649,3,2.03612,4.365782,0.449118,10.418302,uniform_fins,pending,4,ood_test_0036,0,h_ch_high,2,0.65937101,0.70620887,1.99253383,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0027,ood_test,12.148236,12,2.959168,2.768512,1.413187,46.176406,uniform_fins,pending,4,ood_test_0038,0,h_ch_high,4,1.13602767,1.13401640,17.70375305,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0021,ood_test,7.008696,10,2.9854,7.240705,0.396833,27.296773,uniform_fins,pending,4,ood_test_0043,0,d_in_high,3,0.80306842,0.75524107,12.26807205,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0035,ood_test,11.835308,10,2.313364,4.7624,1.433695,15.39769,uniform_fins,pending,4,ood_test_0046,0,h_ch_high,2,0.70299448,0.66194376,2.81892126,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0018,ood_test,7.281201,12,2.856851,0.588716,0.67683,42.641889,uniform_fins,pending,4,ood_test_0047,0,d_in_low,5,1.18936321,1.16166472,160.52484343,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0030,ood_test,9.64415,10,3.248072,0.609277,0.783631,39.378965,uniform_fins,pending,4,ood_test_0049,0,d_in_low,3,0.72293236,0.75725468,103.09744873,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0010,ood_test,12.20484,10,4.703189,2.503179,0.86424,47.165978,uniform_fins,pending,4,ood_test_0052,0,h_ch_high,4,0.83681290,0.89961900,27.25289151,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0022,ood_test,4.426552,12,2.046988,0.779967,1.415788,48.326471,uniform_fins,pending,4,ood_test_0053,0,d_in_low,5,1.18797237,1.17637867,65.64503528,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0013,ood_test,12.085031,3,3.041772,5.970081,1.19402,15.971132,uniform_fins,pending,4,ood_test_0054,0,h_ch_high,3,0.71442329,0.71581744,0.84018542,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0012,ood_test,8.971748,3,3.64256,7.110317,1.339061,29.820883,uniform_fins,pending,4,ood_test_0063,0,d_in_high,1,0.63483079,0.60585247,1.17452548,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0028,ood_test,11.69946,12,5.106835,5.486351,1.369505,6.294639,uniform_fins,pending,4,ood_test_0068,0,h_ch_high,5,1.18939824,1.22159818,1.25665156,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0006,ood_test,9.423115,3,2.194397,7.475585,0.85094,9.063741,uniform_fins,pending,4,ood_test_0069,0,d_in_high,3,0.75242237,0.71671070,0.53431164,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf04_0047,ood_test,7.110219,12,5.054759,7.319152,0.86471,35.91485,uniform_fins,pending,4,ood_test_0077,0,d_in_high,5,1.15263213,1.21882476,8.76217367,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
