case_id,pool,case_dir,valid_geometry,invalid_reason,n_fin,h_ch_mm,h_fin_mm,d_in_mm,u_in_m_per_s,q_w_kw_m2,mesh_nx,mesh_ny,effective_inlet_width_mm,inlet_width_saturated,case_json_sha256,stl_sha256,status
ood_fresh_0015,ood_fresh,openfoam_cases/ood_fresh_0015,true,,3,6.742903,3.703181,7.349424,1.469389,19.593372,240,27,6.742903,true,a59a017362a6f20b4530fd273ac391db74e9747ca88bdfcbfc32bc38f592a92d,9bfd5c906cb616ad5baec82afe9298045c9eb231a5c05ba40176f426c8d0de47,generated_not_solved
ood_fresh_0033,ood_fresh,openfoam_cases/ood_fresh_0033,true,,3,7.90277,4.591528,7.467373,0.632919,5.222002,240,32,7.467373,false,4b78d5e176340a41b994a2bc3306d018a5ee70d5e443516604d9b2362f78da54,dece1105892d6d6329a0d09e7588cffa35b9581630c75a6c9690fa7851483f06,generated_not_solved
ood_fresh_0085,ood_fresh,openfoam_cases/ood_fresh_0085,true,,10,9.315688,3.617286,7.070586,1.26408,7.48453,240,37,7.070586,false,325000b14b4d62c2616221c50ca38c4b25d9bf0b76ce7ce960a40c6ed03a0648,17691fcff9e7c0149e4e268b32b4dc51b756e0ae84e8670715d2c85a26584367,generated_not_solved
ood_fresh_0011,ood_fresh,openfoam_cases/ood_fresh_0011,true,,12,5.551035,3.593414,7.334984,1.322245,17.439504,240,22,5.551035,true,b0172706bebf8900c10d43bf42d1b7f75b633e589b51dfecefe964fb0f9ef504,19d4ad27a416c85d27f811065914c8ad9666128d2463dcff1d8d2b437fc78c4f,generated_not_solved
ood_fresh_0065,ood_fresh,openfoam_cases/ood_fresh_0065,true,,12,8.288743,3.882039,7.336143,1.204571,44.509377,240,33,7.336143,false,a013867f3d344513ff3d16e844d554e93d941f282a50d0cae536adb095732286,2a87cdc5a64ce60f91f2155a196d90b2d100b088a23b6f2a29f6de5802346177,generated_not_solved
ood_fresh_0069,ood_fresh,openfoam_cases/ood_fresh_0069,true,,3,9.454702,5.189855,0.948081,0.390847,9.247172,240,38,0.948081,false,c3b988539ca5749e8995a66a51d663e8589832667bfb6ba47725613788b801bb,404e47d124b02bcf9923bef0297ca015f1c89c194fb4cb1083d46cfdcf624c1f,generated_not_solved
ood_fresh_0003,ood_fresh,openfoam_cases/ood_fresh_0003,true,,3,6.811002,2.166319,0.911984,0.803119,10.732637,240,27,0.911984,false,dea0388f405357fa5ac665d731c9e16154388e2a920314ef265eafef136f4b19,f40eeb5aba9e413a123a4e4052c8bb93ac701d80f2d58c749fa22f5b2855ade3,generated_not_solved
ood_fresh_0051,ood_fresh,openfoam_cases/ood_fresh_0051,true,,3,9.701696,2.61527,0.435773,1.167822,6.23705,240,39,0.435773,false,1bad9f4179038f1cb60e012e7d94c1ec10ec74f0c71708b937b16e8f826cf887,7235339377a310615137d40a7ed774f96355200a93f9733d2c8f48ca947fc1e5,generated_not_solved
ood_fresh_0077,ood_fresh,openfoam_cases/ood_fresh_0077,true,,12,4.496907,3.337029,0.719961,0.820212,12.546577,240,18,0.719961,false,7e7644011d465152460344cdeaecad582e7a9cfe107ebda24e9894319965c642,005d8a64ebe6479b0da139849e008247b56e5a275684deef47652a2c5c115604,generated_not_solved
ood_fresh_0059,ood_fresh,openfoam_cases/ood_fresh_0059,true,,12,7.359976,5.369405,0.700443,1.423693,13.365638,240,29,0.700443,false,bdfd64157e7c03b831011d0d4dbd1912356b737e9775dc4dc89db687bf89342a,ccb1aa01e5c1037c36349c9d2e902d70005c632909151308c7d3792875b804d0,generated_not_solved
ood_fresh_0018,ood_fresh,openfoam_cases/ood_fresh_0018,true,,3,11.851113,2.337668,4.428334,1.433326,23.137231,240,47,4.428334,false,a89b62e3a07be0f0f2e3dae039b6698e5403421dc46d0520a0648be6073a7390,4e16db1186803c2824deabd47c43d3bb07b2da7b31005054e66f9172dc367759,generated_not_solved
ood_fresh_0024,ood_fresh,openfoam_cases/ood_fresh_0024,true,,3,12.265732,5.094595,5.825517,0.733478,5.728064,240,49,5.825517,false,20ff7423740f7971e2b64c03038a0725fa6df3f541d33ff9f7bed96facdd81dd,150814d5b17089c5fd24248d0404e8057c09ddbf862d81b7a5901f2e97c86982,generated_not_solved
ood_fresh_0042,ood_fresh,openfoam_cases/ood_fresh_0042,true,,3,12.185656,3.30027,2.233953,1.103613,22.980022,240,49,2.233953,false,35a27db5e2347a4fa760b3e573ebb49aef9a331f3d349a6139e1ad8822311a45,c79b46338ecc0f04a180285443c25c395f6d59fa89397fc3c0867bf5cf1c7d55,generated_not_solved
ood_fresh_0044,ood_fresh,openfoam_cases/ood_fresh_0044,true,,12,12.061692,2.400601,4.999859,0.922244,15.45733,240,48,4.999859,false,f85306bf2bfeec39dfbe5ce992f66507d0a20f3e78c9a078b7e6ebe384d1011e,aaae65d5500ad4c663f330e1d40c09619dc5112664f6b73944208f0e483f7d16,generated_not_solved
ood_fresh_0002,ood_fresh,openfoam_cases/ood_fresh_0002,true,,12,11.849743,2.500497,2.773509,1.451251,11.182283,240,47,2.773509,false,477be65df50d5036279a7055c0c561fd3c790aa9e7a955ab21ef3320116950fe,f47a4bdb8c80ed4f1aab85cc202c964a57e2c1cf05ba57498f1667c86d4b5322,generated_not_solved
ood_fresh_0063,ood_fresh,openfoam_cases/ood_fresh_0063,true,,3,7.037644,2.669291,7.297119,0.858744,34.49137,240,28,7.037644,true,489ad481ecf32af1085b6d6afd47f2f7f4afc65ddd5c87dc9229d23dd0e7e906,69b17dcbf1ce10e63a267aafef14c15dca605ba330a47a0ea0774c3baea590ea,generated_not_solved
ood_fresh_0087,ood_fresh,openfoam_cases/ood_fresh_0087,true,,3,8.527264,3.655419,7.389144,1.157771,20.079927,240,34,7.389144,false,3cfcaa475ce4a210ffef247efd0a23800ccac8d7a8aaab2fd72e9a92ba92f624,c9fb8a66f27cc757efdf977da8a9db05b995c2d4876750eacb227b190463b609,generated_not_solved
ood_fresh_0049,ood_fresh,openfoam_cases/ood_fresh_0049,true,,10,6.220082,2.09454,7.419212,1.387063,35.649929,240,25,6.220082,true,5bf01e2024c1f1b81429676bae051cdbafa9fe3e32491d7d696bb2afefa11c08,37721cf9c603b3c54f0bfb283bb1135805a56b1b6d876aaca7f484165b14cad4,generated_not_solved
ood_fresh_0053,ood_fresh,openfoam_cases/ood_fresh_0053,true,,12,5.746158,2.914304,7.237486,0.985301,22.16106,240,23,5.746158,true,6be2a1075c34ad9a7323f8c721e02a6f535a3c5c33a07a198a43526c76236cf6,6620659648a8e415f172182c0ac2a3f82de3ef8a1cdc256f13e367a35294e1bd,generated_not_solved
ood_fresh_0083,ood_fresh,openfoam_cases/ood_fresh_0083,true,,12,6.046397,4.125812,7.135158,1.492886,47.66874,240,24,6.046397,true,8e36e43f517db18bcb5bd076265ebdbe4fc1cf9db79b5379de95ab17072715a6,91e01a0779ff96c0e7113f4a815935b69d0006a9dda66c9f6037b75f854a9b0b,generated_not_solved
ood_fresh_0045,ood_fresh,openfoam_cases/ood_fresh_0045,true,,3,9.587285,4.503357,0.578476,1.293078,19.231823,240,38,0.578476,false,fa7183640bab592e569c6eec6c4c91fb4240a23878f6e0bd61195516afc9b513,3758cdcfe02afc60563855c699f66bf5e799db684ab480720b06d3c8f1f9ccd8,generated_not_solved
ood_fresh_0037,ood_fresh,openfoam_cases/ood_fresh_0037,true,,10,6.398438,2.656227,0.765066,1.03915,15.844353,240,26,0.765066,false,af0e3878a06c04a4755493f9a2dd58c8d061e12d74d1b3659edf5c19fa28b233,c56bc78e78aa70543fd72dd7db1ee9bf1496e3b337baf9f29ea215b6787c04fc,generated_not_solved
ood_fresh_0007,ood_fresh,openfoam_cases/ood_fresh_0007,true,,10,7.136567,2.655142,0.808242,0.580309,39.595242,240,29,0.808242,false,215f94943acbcfa3b744bcc12c48f3eaa90aff86e46d41a6d5c16eb6c2eb3edf,4b979e45e4f77a11371eb6361a9760362d4cf9feb844302cf2b6e6c68c28dade,generated_not_solved
ood_fresh_0035,ood_fresh,openfoam_cases/ood_fresh_0035,true,,12,6.106054,3.555995,0.763869,1.085632,29.361825,240,24,0.763869,false,0fc8e210cc5744a6b0917c70d7350eb3d4b17903b8e9589f8778893939fdf2b0,384ab95d810172c14f17ee139b6e542a5d002a3ebd1c5706f70e1929b55b0139,generated_not_solved
ood_fresh_0089,ood_fresh,openfoam_cases/ood_fresh_0089,true,,12,9.05572,4.6858,0.713635,1.4786,49.668648,240,36,0.713635,false,76feaaaea76bfb84404dd67e167c3ede68c599ed7f01032539633a3a1d98b46e,e87f43037a324e349f2292db4aec5e62d5770b1e2c5c31ca813c4e6c847f9afb,generated_not_solved
ood_fresh_0030,ood_fresh,openfoam_cases/ood_fresh_0030,true,,3,11.645771,5.491372,4.399015,1.405824,27.5495,240,47,4.399015,false,645f36418a6661093b0f795e7d51eac7ea4bcf2431b6fc59c37edf6b684cbbee,ba22ce47d5d45d3f78f0cc5b2122f9cea6a76c6b4b8fe9ab0fc34e1a30c9529d,generated_not_solved
ood_fresh_0006,ood_fresh,openfoam_cases/ood_fresh_0006,true,,3,11.630479,3.076598,2.021298,1.335834,14.049038,240,47,2.021298,false,694ba8bc29c848bd3fc71b8abb5da2ab70fcda40523128047274149e1ad0218a,be8b2c3cf0c0dd507d02e4731572349bdbf6d2f4f918e3d4145be3c152d7bc65,generated_not_solved
ood_fresh_0022,ood_fresh,openfoam_cases/ood_fresh_0022,true,,10,11.999816,4.917412,2.142636,1.355134,10.004617,240,48,2.142636,false,1ad4f87f8fc5ef75b49c97beff4f47f2d7f8aaf466f51c9b8ca3b94e2080eaa9,cde481b6e2e853d74bc37a71610e3aefeda59de566be21cbb93e8656a9eb9388,generated_not_solved
ood_fresh_0070,ood_fresh,openfoam_cases/ood_fresh_0070,true,,10,11.626418,3.125681,2.866607,0.494607,7.738779,240,47,2.866607,false,792577a6f82b4bdd658941a3d23675d76398f8cafcd8c7a6c536626092baafca,5352002392e517595841e2a9658ae72db3d22c1f118b26bdd60f3dbc1b40196d,generated_not_solved
ood_fresh_0014,ood_fresh,openfoam_cases/ood_fresh_0014,true,,12,12.156635,2.018736,4.001861,1.063117,14.818929,240,49,4.001861,false,f3bcd7fe468ab50f17524670c92c3ae9a7b6fd1b51514cbad952aa8bfa4e433c,1cf6048e37a8f6c01d8bfdc97dfdf90c433709cda9c93ce3626179eec7f27ae5,generated_not_solved
ood_fresh_0039,ood_fresh,openfoam_cases/ood_fresh_0039,true,,3,4.814046,2.684837,7.393838,0.666502,18.08738,240,19,4.814046,true,1d00971ddb209e41bcb8b13d298a5439e100af3b3989d321256d6e82bfeca8d1,6abed9a4613de7b02f7dc7158f7b027f74a0f67797c04dfcc80271b5b2293298,generated_not_solved
ood_fresh_0067,ood_fresh,openfoam_cases/ood_fresh_0067,true,,10,5.929444,2.73773,7.410609,1.35791,33.423197,240,24,5.929444,true,b49443ccaed7ba1757029bc46a03468a30b49479aa47aa510aeb8751bbdeee36,804f691ae0c804195b53429d9638ec72d06fb37aae8b4e9eb0f1950721331700,generated_not_solved
ood_fresh_0041,ood_fresh,openfoam_cases/ood_fresh_0041,true,,12,7.528667,4.539402,7.192885,0.479775,13.610741,240,30,7.192885,false,67afa6e5bd321e6afbee07aa6f86bbf0f37026e6cf1cacf21f2876f001791340,9967f07a234ca8b126b202a44826628a115d5fbac411752c37933bd55277954f,generated_not_solved
ood_fresh_0023,ood_fresh,openfoam_cases/ood_fresh_0023,true,,12,7.543314,4.27179,7.123889,0.461993,36.050538,240,30,7.123889,false,38233665fa8983e0eb59a3b38afb07b238f02b984c434d8ebf367df2f2e62bf3,1a9b4881c3780f4c45f2210ae77dd1b1780c8a776c1a5ef06109f3800678d24a,generated_not_solved
ood_fresh_0009,ood_fresh,openfoam_cases/ood_fresh_0009,true,,3,5.455536,2.658543,0.733329,0.339555,9.814327,240,22,0.733329,false,183b149414a8131bdd6875f82c9f0a969eb41490de6fe7e3c207b077a20f0358,97633169a9a5615fd9021a4973df7362c60d24c44a52c29159a1533ff09ea9b5,generated_not_solved
ood_fresh_0075,ood_fresh,openfoam_cases/ood_fresh_0075,true,,3,7.44467,5.24062,0.598722,0.655022,42.777562,240,30,0.598722,false,f824c0d313bde75be4f11b08ff43d66a3a93493ce884d33d6d00bbd587ce49f4,d309ecb7b9be91e40809af611c002dc3d28ff8b6fc9a7cf7f10703c5b0badc3c,generated_not_solved
ood_fresh_0019,ood_fresh,openfoam_cases/ood_fresh_0019,true,,10,4.045976,2.060132,0.845096,0.381654,33.965526,240,16,0.845096,false,adf6369fcc6e8e4344d80606938d3db9293f34bd969b227bf92d92a2e3d90b5b,91ab5e4e5da1d7784aacf94415bd17654bd74750a09a773723c24a2844e6a6c4,generated_not_solved
ood_fresh_0047,ood_fresh,openfoam_cases/ood_fresh_0047,true,,12,4.725898,3.084154,0.676422,0.571145,46.956952,240,19,0.676422,false,f3c5d29e52eba65ec07080773311b268d2ac181b587ec423c726b0239f037fbf,14d7ad2be6b528706c59b295e2cfdca9fde8373a6dcfb720d62a59edb1459308,generated_not_solved
