case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,source_parameter_file,nearest_id_train_distance,ood_axis,distance_bin,stratification_key,temperature_risk_proxy,acquisition_rank_in_pool,target_retained_count,selection_reason
ood_fresh_0015,ood_fresh,6.742903,3,3.703181,7.349424,1.469389,19.593372,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.63404938,d_in_high,1,ood_fresh|d_in_high|bin_1,0.74157786,1,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0033,ood_fresh,7.90277,3,4.591528,7.467373,0.632919,5.222002,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.66413778,d_in_high,2,ood_fresh|d_in_high|bin_2,0.41433567,2,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0085,ood_fresh,9.315688,10,3.617286,7.070586,1.26408,7.48453,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.73259572,d_in_high,3,ood_fresh|d_in_high|bin_3,1.04675388,3,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0011,ood_fresh,5.551035,12,3.593414,7.334984,1.322245,17.439504,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.10560466,d_in_high,4,ood_fresh|d_in_high|bin_4,3.56401472,4,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0065,ood_fresh,8.288743,12,3.882039,7.336143,1.204571,44.509377,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.14577821,d_in_high,5,ood_fresh|d_in_high|bin_5,7.55514116,5,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0069,ood_fresh,9.454702,3,5.189855,0.948081,0.390847,9.247172,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.61283572,d_in_low,1,ood_fresh|d_in_low|bin_1,9.35810637,6,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0003,ood_fresh,6.811002,3,2.166319,0.911984,0.803119,10.732637,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65065894,d_in_low,2,ood_fresh|d_in_low|bin_2,5.49503660,7,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0051,ood_fresh,9.701696,3,2.61527,0.435773,1.167822,6.23705,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.77875985,d_in_low,3,ood_fresh|d_in_low|bin_3,4.59593124,8,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0077,ood_fresh,4.496907,12,3.337029,0.719961,0.820212,12.546577,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.07767763,d_in_low,4,ood_fresh|d_in_low|bin_4,31.86995314,9,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0059,ood_fresh,7.359976,12,5.369405,0.700443,1.423693,13.365638,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.14327851,d_in_low,5,ood_fresh|d_in_low|bin_5,20.10443184,10,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0018,ood_fresh,11.851113,3,2.337668,4.428334,1.433326,23.137231,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.63000098,h_ch_high,1,ood_fresh|h_ch_high|bin_1,1.36696471,11,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0024,ood_fresh,12.265732,3,5.094595,5.825517,0.733478,5.728064,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65380071,h_ch_high,2,ood_fresh|h_ch_high|bin_2,0.50271005,12,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0042,ood_fresh,12.185656,3,3.30027,2.233953,1.103613,22.980022,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.68440321,h_ch_high,3,ood_fresh|h_ch_high|bin_3,3.49535160,13,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
