case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,validation_pool,selection_group,selection_reason,source_parameter_file,nearest_id_train_distance,target_regime,ood_axis,replaces_case_id,temperature_risk_proxy
ood_test_0085,ood_test,6.74179,10,2.437301,7.509428,0.940538,7.994804,uniform_fins,pending,near_ood,ood_nfin_10_high_distance_temperature_replacement_1,temperature-extrema replacement for ood_test_0106 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/parameters.csv,0.79677479,,,ood_test_0106,1.57603648
ood_test_0004,ood_test,11.707474,10,4.855156,4.216275,0.962978,6.804483,uniform_fins,pending,near_ood,ood_nfin_10_high_distance_temperature_replacement_2,temperature-extrema replacement for ood_test_0106 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/parameters.csv,0.76184503,,,ood_test_0106,2.09488338
ood_test_0113,ood_test,7.042716,12,3.410859,7.444519,1.428653,6.228521,uniform_fins,pending,near_ood,ood_nfin_12_low_distance_temperature_replacement_1,temperature-extrema replacement for ood_test_0107 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/parameters.csv,1.14627112,,,ood_test_0107,0.92855848
ood_test_0074,ood_test,12.051699,12,3.443761,5.42144,1.181774,8.191639,uniform_fins,pending,near_ood,ood_nfin_12_low_distance_temperature_replacement_2,temperature-extrema replacement for ood_test_0107 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/parameters.csv,1.14598383,,,ood_test_0107,1.91784267
ood_fresh_0011,ood_fresh,5.551035,12,3.593414,7.334984,1.322245,17.439504,uniform_fins,pending,fresh_ood,fresh_d_in_high_high_distance_temperature_replacement_1,temperature-extrema replacement for ood_fresh_0017 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.10560466,,d_in_high,ood_fresh_0017,3.56401472
ood_fresh_0053,ood_fresh,5.746158,12,2.914304,7.237486,0.985301,22.16106,uniform_fins,pending,fresh_ood,fresh_d_in_high_high_distance_temperature_replacement_2,temperature-extrema replacement for ood_fresh_0017 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.11282772,,d_in_high,ood_fresh_0017,5.87131392
ood_fresh_0059,ood_fresh,7.359976,12,5.369405,0.700443,1.423693,13.365638,uniform_fins,pending,fresh_ood,fresh_d_in_low_high_distance_temperature_replacement_1,temperature-extrema replacement for ood_fresh_0089 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.14327851,,d_in_low,ood_fresh_0089,20.10443184
ood_fresh_0077,ood_fresh,4.496907,12,3.337029,0.719961,0.820212,12.546577,uniform_fins,pending,fresh_ood,fresh_d_in_low_high_distance_temperature_replacement_2,temperature-extrema replacement for ood_fresh_0089 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.07767763,,d_in_low,ood_fresh_0089,31.86995314
ood_fresh_0002,ood_fresh,11.849743,12,2.500497,2.773509,1.451251,11.182283,uniform_fins,pending,fresh_ood,fresh_h_ch_high_high_distance_temperature_replacement_1,temperature-extrema replacement for ood_fresh_0008 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.22024525,,h_ch_high,ood_fresh_0008,4.16725069
ood_fresh_0044,ood_fresh,12.061692,12,2.400601,4.999859,0.922244,15.45733,uniform_fins,pending,fresh_ood,fresh_h_ch_high_high_distance_temperature_replacement_2,temperature-extrema replacement for ood_fresh_0008 selected by low heat-risk proxy,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.09691840,,h_ch_high,ood_fresh_0008,5.02831113
